Subject,RT,Choice,Accuracy,Target,Prime,PrimeDuration,Contrast,Block,Angle,FixTime,PrimeTime,TargetTime,MaskTime,BlockType
2,3.705471e+00,0,0,1,0,150,1,0,50,1.140689e+00,1.290668e+00,1.390675e+00,1.490684e+00,0
2,1.435046e+00,0,1,0,0,150,1,0,40,1.146698e+00,1.296655e+00,1.396677e+00,1.496673e+00,0
2,6.477307e-01,0,1,0,1,150,1,0,45,1.147812e+00,1.297817e+00,1.397845e+00,1.497838e+00,0
2,4.204929e-01,1,1,1,1,150,1,0,50,1.147957e+00,1.297921e+00,1.397951e+00,1.497954e+00,0
2,3.146123e-01,1,1,1,0,150,1,0,40,1.148057e+00,1.298036e+00,1.398069e+00,1.498053e+00,0
2,3.725509e-01,0,1,0,1,150,1,0,55,1.147950e+00,1.297929e+00,1.397927e+00,1.497946e+00,0
2,4.287196e-01,0,1,0,1,150,1,0,35,1.148004e+00,1.297981e+00,1.398001e+00,1.497995e+00,0
2,4.580144e-01,1,1,1,0,150,1,0,45,1.148010e+00,1.297974e+00,1.397995e+00,1.497985e+00,0
2,3.590498e-01,0,1,0,0,150,1,0,40,1.148318e+00,1.298274e+00,1.398281e+00,1.498318e+00,0
2,6.153092e-01,0,1,0,1,150,1,0,55,1.148413e+00,1.298394e+00,1.398386e+00,1.498416e+00,0
2,3.334677e-01,1,1,1,0,150,1,0,45,1.148043e+00,1.298006e+00,1.398014e+00,1.498012e+00,0
2,4.147270e-01,0,1,0,1,150,1,0,55,1.148015e+00,1.298003e+00,1.397996e+00,1.497994e+00,0
2,1.970316e-01,1,1,1,0,150,1,0,35,1.148023e+00,1.298004e+00,1.398025e+00,1.498023e+00,0
2,4.036793e-01,1,1,1,0,150,1,0,45,1.148063e+00,1.297998e+00,1.398029e+00,1.498020e+00,0
2,3.220185e-01,1,1,1,0,150,1,0,55,1.147903e+00,1.298021e+00,1.397950e+00,1.497923e+00,0
2,3.881107e-01,1,1,1,1,150,1,0,55,1.147891e+00,1.297870e+00,1.397891e+00,1.497888e+00,0
2,6.838537e-01,0,1,0,0,150,3.981072e-01,0,40,1.147908e+00,1.297887e+00,1.397909e+00,1.497900e+00,0
2,4.232316e-01,0,1,0,0,150,3.981072e-01,0,45,1.148001e+00,1.297979e+00,1.397999e+00,1.497984e+00,0
2,3.328627e-01,1,1,1,0,150,3.981072e-01,0,45,1.148204e+00,1.298166e+00,1.398151e+00,1.498195e+00,0
2,4.144300e-01,0,1,0,0,150,3.981072e-01,0,55,1.148003e+00,1.297981e+00,1.398029e+00,1.498044e+00,0
2,3.487893e-01,0,1,0,1,150,3.981072e-01,0,45,1.148052e+00,1.298032e+00,1.398057e+00,1.498000e+00,0
2,3.570437e-01,0,1,0,1,150,3.981072e-01,0,55,1.147926e+00,1.297895e+00,1.397902e+00,1.497889e+00,0
2,3.182686e-01,1,1,1,1,150,3.981072e-01,0,50,1.147942e+00,1.297902e+00,1.397927e+00,1.497922e+00,0
2,2.482487e-01,1,1,1,1,150,3.981072e-01,0,55,1.147924e+00,1.297899e+00,1.397926e+00,1.497911e+00,0
2,3.567014e-01,0,1,0,1,150,3.981072e-01,0,35,1.148006e+00,1.297986e+00,1.398007e+00,1.497986e+00,0
2,2.533475e-01,1,1,1,0,150,3.981072e-01,0,40,1.147902e+00,1.297862e+00,1.397860e+00,1.497853e+00,0
2,2.338199e-01,0,1,0,0,150,3.981072e-01,0,45,1.148029e+00,1.297999e+00,1.398024e+00,1.498011e+00,0
2,1.271729e-01,1,1,1,0,150,3.981072e-01,0,35,1.148056e+00,1.298015e+00,1.398024e+00,1.498023e+00,0
2,3.770168e-01,1,1,1,1,150,3.981072e-01,0,40,1.148011e+00,1.297969e+00,1.397967e+00,1.497980e+00,0
2,3.920719e-01,1,1,1,1,150,3.981072e-01,0,55,1.148064e+00,1.298046e+00,1.398051e+00,1.498042e+00,0
2,3.913481e-01,0,1,0,1,150,3.981072e-01,0,55,1.148235e+00,1.298210e+00,1.398232e+00,1.498231e+00,0
2,4.307371e-01,1,1,1,1,150,3.981072e-01,0,40,1.148295e+00,1.298244e+00,1.398305e+00,1.498282e+00,0
2,3.564997e-01,0,1,0,1,150,1.584893e-01,0,40,1.148060e+00,1.298019e+00,1.398034e+00,1.498031e+00,0
2,4.847783e-01,0,1,0,0,150,1.584893e-01,0,45,1.148293e+00,1.298264e+00,1.398323e+00,1.498316e+00,0
2,4.882149e-01,1,1,1,1,150,1.584893e-01,0,55,1.148021e+00,1.297984e+00,1.398007e+00,1.498003e+00,0
2,4.517456e-01,0,1,0,1,150,1.584893e-01,0,50,1.147843e+00,1.297845e+00,1.397843e+00,1.497836e+00,0
2,4.404513e-01,0,1,0,1,150,1.584893e-01,0,55,1.147999e+00,1.297966e+00,1.397991e+00,1.497991e+00,0
2,4.297229e-01,0,1,0,1,150,1.584893e-01,0,45,1.148325e+00,1.298295e+00,1.398284e+00,1.498311e+00,0
2,4.110592e-01,1,1,1,0,150,1.584893e-01,0,45,1.147911e+00,1.297887e+00,1.397911e+00,1.497921e+00,0
2,3.770066e-01,1,1,1,0,150,1.584893e-01,0,35,1.148010e+00,1.297988e+00,1.397998e+00,1.497984e+00,0
2,4.809080e-01,1,1,1,1,150,1.584893e-01,0,40,1.147920e+00,1.297898e+00,1.397867e+00,1.497873e+00,0
2,8.041471e-01,1,0,0,0,150,1.584893e-01,0,35,1.147957e+00,1.297937e+00,1.397938e+00,1.497934e+00,0
2,4.665758e-01,0,0,1,0,150,1.584893e-01,0,35,1.148055e+00,1.298074e+00,1.398052e+00,1.498048e+00,0
2,3.507878e-01,0,1,0,1,150,1.584893e-01,0,40,1.147916e+00,1.297894e+00,1.397890e+00,1.497579e+00,0
2,2.713043e-01,1,1,1,0,150,1.584893e-01,0,50,1.147960e+00,1.297917e+00,1.397939e+00,1.497931e+00,0
2,4.757478e-01,1,1,1,1,150,1.584893e-01,0,40,1.148012e+00,1.297996e+00,1.398014e+00,1.498012e+00,0
2,4.393245e-01,1,1,1,0,150,1.584893e-01,0,45,1.147974e+00,1.297951e+00,1.397953e+00,1.497947e+00,0
2,5.409496e-01,1,1,1,1,150,1.584893e-01,0,50,1.148115e+00,1.298097e+00,1.398092e+00,1.498085e+00,0
2,6.541631e-01,1,1,1,1,150,6.309573e-02,0,50,1.147954e+00,1.297957e+00,1.397950e+00,1.497952e+00,0
2,3.949033e-01,0,1,0,1,150,6.309573e-02,0,40,1.147967e+00,1.297936e+00,1.397955e+00,1.497954e+00,0
2,3.213786e-01,0,0,1,1,150,6.309573e-02,0,50,1.148061e+00,1.298040e+00,1.398079e+00,1.498057e+00,0
2,3.955652e-01,1,0,0,0,150,6.309573e-02,0,45,1.147924e+00,1.297879e+00,1.397905e+00,1.497901e+00,0
2,3.145815e-01,1,1,1,1,150,6.309573e-02,0,55,1.147992e+00,1.297967e+00,1.397968e+00,1.497967e+00,0
2,1.044438e+00,0,1,0,0,150,6.309573e-02,0,35,1.147837e+00,1.297761e+00,1.397827e+00,1.497821e+00,0
2,7.291479e-01,0,0,1,1,150,6.309573e-02,0,55,1.148102e+00,1.298080e+00,1.398105e+00,1.498096e+00,0
2,2.267020e-01,1,1,1,0,150,6.309573e-02,0,40,1.147959e+00,1.297918e+00,1.397916e+00,1.497910e+00,0
2,3.598750e-01,1,1,1,0,150,6.309573e-02,0,35,1.147883e+00,1.297862e+00,1.397886e+00,1.497880e+00,0
