Subject,RT,Choice,Accuracy,Target,Prime,PrimeDuration,Contrast,Block,Angle,FixTime,PrimeTime,TargetTime,MaskTime,BlockType
23,2.197785e+00,1,1,1,1,150,1,0,35,1.151907e+00,1.304328e+00,1.401552e+00,1.498768e+00,0
23,1.844999e+00,0,1,0,1,150,1,0,45,1.149458e+00,1.302209e+00,1.399431e+00,1.496648e+00,0
23,1.089040e+00,0,1,0,1,150,1,0,55,1.150689e+00,1.303456e+00,1.400665e+00,1.497877e+00,0
23,8.488791e-01,0,0,1,1,150,1,0,35,1.150687e+00,1.303440e+00,1.400665e+00,1.497872e+00,0
23,5.813159e-01,0,1,0,1,150,1,0,35,1.150682e+00,1.303415e+00,1.400656e+00,1.497857e+00,0
23,3.441052e-01,0,1,0,0,150,1,0,55,1.150574e+00,1.303313e+00,1.400559e+00,1.497754e+00,0
23,2.705707e-01,0,1,0,0,150,1,0,40,1.150708e+00,1.303450e+00,1.400689e+00,1.497885e+00,0
23,2.750248e-01,1,1,1,1,150,1,0,40,1.150759e+00,1.303513e+00,1.400739e+00,1.497953e+00,0
23,2.876857e-01,0,1,0,1,150,1,0,40,1.150829e+00,1.303562e+00,1.400807e+00,1.498004e+00,0
23,2.699127e-01,0,1,0,0,150,1,0,35,1.150751e+00,1.303517e+00,1.400729e+00,1.497944e+00,0
23,2.494687e-01,0,1,0,1,150,1,0,55,1.150841e+00,1.303593e+00,1.400818e+00,1.498033e+00,0
23,2.655115e-01,1,1,1,0,150,1,0,35,1.150627e+00,1.303380e+00,1.400604e+00,1.497818e+00,0
23,3.170094e-01,0,1,0,1,150,1,0,45,1.150722e+00,1.303475e+00,1.400697e+00,1.497913e+00,0
23,1.997187e-01,1,1,1,0,150,1,0,45,1.150729e+00,1.303516e+00,1.400708e+00,1.497924e+00,0
23,2.003258e-01,1,1,1,0,150,1,0,50,1.150768e+00,1.303525e+00,1.400740e+00,1.497962e+00,0
23,1.768560e-01,0,1,0,0,150,1,0,50,1.150746e+00,1.303492e+00,1.400715e+00,1.497931e+00,0
23,2.225597e-01,1,1,1,1,150,3.981072e-01,0,45,1.150706e+00,1.303460e+00,1.400686e+00,1.497924e+00,0
23,2.675112e-01,0,1,0,0,150,3.981072e-01,0,45,1.150800e+00,1.303557e+00,1.400782e+00,1.497997e+00,0
23,2.312927e-01,1,1,1,0,150,3.981072e-01,0,45,1.150785e+00,1.303537e+00,1.400761e+00,1.497969e+00,0
23,1.649029e-01,1,1,1,1,150,3.981072e-01,0,40,1.150675e+00,1.303428e+00,1.400656e+00,1.497867e+00,0
23,2.802763e-01,0,1,0,1,150,3.981072e-01,0,55,1.150678e+00,1.303431e+00,1.400654e+00,1.497870e+00,0
23,1.978835e-01,1,1,1,0,150,3.981072e-01,0,55,1.150687e+00,1.303440e+00,1.400666e+00,1.497879e+00,0
23,2.785705e-01,1,1,1,0,150,3.981072e-01,0,35,1.150694e+00,1.303439e+00,1.400680e+00,1.497876e+00,0
23,1.800758e-01,0,1,0,0,150,3.981072e-01,0,50,1.150646e+00,1.303400e+00,1.400623e+00,1.497840e+00,0
23,2.737268e-01,1,1,1,1,150,3.981072e-01,0,35,1.150680e+00,1.303429e+00,1.400655e+00,1.497869e+00,0
23,1.819029e-01,0,1,0,0,150,3.981072e-01,0,55,1.150713e+00,1.303463e+00,1.400688e+00,1.497901e+00,0
23,1.405159e-01,1,1,1,1,150,3.981072e-01,0,40,1.150693e+00,1.303445e+00,1.400670e+00,1.497896e+00,0
23,2.608938e-01,0,1,0,0,150,3.981072e-01,0,35,1.150802e+00,1.303543e+00,1.400767e+00,1.497984e+00,0
23,2.071608e-01,0,1,0,1,150,3.981072e-01,0,35,1.150732e+00,1.303482e+00,1.400705e+00,1.497921e+00,0
23,3.287742e-01,0,1,0,1,150,3.981072e-01,0,40,1.150673e+00,1.303428e+00,1.400651e+00,1.497867e+00,0
23,1.896148e-01,0,1,0,0,150,3.981072e-01,0,35,1.150764e+00,1.303513e+00,1.400739e+00,1.497993e+00,0
23,2.694904e-01,1,1,1,0,150,3.981072e-01,0,50,1.150788e+00,1.303548e+00,1.400763e+00,1.497995e+00,0
