Output,RNG.number,Start.time,End.time,Initials,Notes
Subject_1.csv-Subject_1.mat,4813,2016\3\24\9:51 AM,2016\3\24\10:26 AM,KWP,Room 201L
Subject_8.csv-Subject_8.mat,8355,2016\3\25\11:33 AM,2016\3\25\12:08 AM,KWP,Room 201L
Subject_12.csv-Subject_12.mat,3390,2016\3\25\1:06 PM,2016\3\25\1:40 PM,KWP,Room 201L
Subject_14.csv-Subject_14.mat,1928,2016\3\25\2:00 PM,2016\3\25\2:48 PM,KWP,Room 201L Took longer than expected
Subject_15.csv-Subject_15.mat,4072,2016\4\6\1:41 PM,2016\4\6\2:16 PM,KWP,Room 201L
Subject_18.csv-Subject_18.mat,1977,2016\4\6\2:24 PM,2016\4\6\3:00 PM,KWP,Room 201L
Subject_25.csv-Subject_25.mat,2716,2016\4\6\4:00 PM,2016\4\6\4:40 PM,KWP,Room 201L
Subject_32.csv-Subject_32.mat,573,2016\4\7\10:52 AM,2016\4\7\11:37 AM,KWP,Room 201L
Subject_2.csv-Subject_2.mat,333,2016\3\24\10:08 AM,2016\3\24\10:45 AM,KWP,Room 201K
Subject_7.csv-Subject_7.mat,5001,2016\3\25\11:32 AM,2016\3\25\12:06 AM,KWP,Room 201K
Subject_11.csv-Subject_11.mat,2813,2016\3\25\1:13 PM,2016\3\25\1:47 PM,KWP,Room 201K
Subject_16.csv-Subject_16.mat,8401,2016\4\6\2:09 PM,2016\4\6\2:45 PM,KWP,Room 201K
Subject_20.csv-Subject_20.mat,333,2016\4\6\2:51 PM,2016\4\6\3:26 PM,KWP,Room 201K
Subject_23.csv-Subject_23.mat,6674,2016\4\6\3:41 PM,2016\4\6\4:15 PM,KWP,Room 201K
Subject_26.csv-Subject_26.mat,2464,2016\4\6\4:17 PM,2016\4\6\4:56 PM,KWP,Room 201K
Subject_31.csv-Subject_31.mat,7840,2016\4\7\10:40 AM,2016\4\7\11:22 AM,KWP,Room 201K
Subject_3.csv-Subject_3.mat,7826,2016\3\24\10:40 AM,2016\3\24\11:14 AM,KWP,Room 201H
Subject_6.csv-Subject_6.mat,2168,2016\3\25\11:16 AM,2016\3\25\11:48 AM,KWP,Room 201H
Subject_10.csv-Subject_10.mat,4813,2016\3\25\1:15 PM,2016\3\25\1:53 PM,KWP,Room 201H
Subject_17.csv-Subject_17.mat,2467,2016\4\6\2:15 PM,2016\4\6\2:57 PM,KWP,Room 201H
Subject_21.csv-Subject_21.mat,3775,2016\4\6\3:09 PM,2016\4\6\3:45 PM,KWP,Room 201H
Subject_24.csv-Subject_24.mat,7122,2016\4\6\4:07 PM,2016\4\6\4:42 PM,KWP,Room 201H
Subject_30.csv-Subject_30.mat,7826,2016\4\7\10:13 AM,2016\4\7\10:50 AM,KWP,Room 201H
Subject_4.csv-Subject_4.mat,962,2016\3\24\11:30 AM,2016\3\24\12:13 AM,KWP,Room 201F
Subject_5.csv-Subject_5.mat,4638,2016\3\25\11:08 AM,2016\3\25\11:43 AM,KWP,Room 201F
Subject_9.csv-Subject_9.mat,9483,2016\3\25\12:32 AM,2016\3\25\1:10 PM,KWP,Room 201F
Subject_13.csv-Subject_13.mat,9532,2016\3\25\1:33 PM,2016\3\25\2:12 PM,KWP,Room 201F
Subject_19.csv-Subject_19.mat,7121,2016\4\6\2:40 PM,2016\4\6\3:31 PM,KWP,Room 201F Subject took longer than expected
Subject_22.csv-Subject_22.mat,7506,2016\4\6\3:37 PM,2016\4\6\4:19 PM,KWP,Room 201F
Subject_27.csv-Subject_27.mat,6815,2016\4\6\4:38 PM,2016\4\6\5:10 PM,KWP,Room 201F
Subject_28.csv-Subject_28.mat,2416,2016\4\6\5:14 PM,2016\4\6\6:04 PM,KWP,Room 201F
Subject_29.csv-Subject_29.mat,8304,2016\4\7\10:06 AM,2016\4\7\10:41 AM,KWP,Room 201F
