Subject,RT,Choice,Accuracy,Target,Prime,PrimeDuration,Contrast,Block,Angle,FixTime,PrimeTime,TargetTime,MaskTime,BlockType
25,4.995445e+00,2,0,1,0,150,1,0,55,1.154605e+00,1.307366e+00,1.404582e+00,1.501802e+00,0
25,3.468783e+00,1,0,0,1,150,1,0,40,1.155515e+00,1.308246e+00,1.405422e+00,1.502676e+00,0
25,2.904326e+00,1,0,0,0,150,1,0,40,1.150618e+00,1.303429e+00,1.400648e+00,1.497859e+00,0
25,8.448299e-01,0,0,1,0,150,1,0,50,1.150791e+00,1.303589e+00,1.400776e+00,1.498030e+00,0
25,3.071613e+00,1,0,0,0,150,1,0,45,1.150813e+00,1.303568e+00,1.400796e+00,1.498010e+00,0
25,2.797416e+00,0,1,0,1,150,1,0,55,1.150669e+00,1.303428e+00,1.400656e+00,1.497873e+00,0
25,4.465205e+00,1,0,0,0,150,1,0,55,1.150783e+00,1.303560e+00,1.400737e+00,1.497988e+00,0
25,4.995186e+00,2,0,0,1,150,1,0,40,1.150804e+00,1.303563e+00,1.400810e+00,1.497980e+00,0
25,2.021705e+00,1,0,0,1,150,1,0,40,1.150515e+00,1.303288e+00,1.400461e+00,1.497661e+00,0
25,4.995464e+00,2,0,0,0,150,1,0,45,1.150770e+00,1.303485e+00,1.400724e+00,1.497958e+00,0
25,1.174358e+00,1,0,0,0,150,1,0,45,1.150776e+00,1.303536e+00,1.400800e+00,1.498025e+00,0
25,3.636875e-01,0,1,0,0,150,1,0,45,1.150789e+00,1.303654e+00,1.400740e+00,1.497954e+00,0
25,1.469895e+00,0,0,1,1,150,1,0,40,1.150757e+00,1.303514e+00,1.400737e+00,1.497952e+00,0
25,2.735967e+00,1,1,1,0,150,1,0,55,1.150708e+00,1.303469e+00,1.400691e+00,1.497910e+00,0
25,1.818781e+00,0,0,1,1,150,1,0,45,1.150766e+00,1.303510e+00,1.400776e+00,1.497990e+00,0
25,3.210875e+00,0,1,0,0,150,1,0,45,1.150717e+00,1.303471e+00,1.400750e+00,1.497947e+00,0
25,4.301540e+00,0,1,0,1,150,3.981072e-01,0,40,1.150807e+00,1.303563e+00,1.400778e+00,1.497988e+00,0
25,4.910308e+00,1,1,1,0,150,3.981072e-01,0,50,1.150768e+00,1.303526e+00,1.400753e+00,1.497954e+00,0
25,4.995261e+00,2,0,0,0,150,3.981072e-01,0,40,1.150645e+00,1.303399e+00,1.400624e+00,1.497826e+00,0
25,4.995463e+00,2,0,1,0,150,3.981072e-01,0,35,1.150643e+00,1.303407e+00,1.400617e+00,1.497823e+00,0
