Subject,RT,Choice,Accuracy,Target,Prime,PrimeDuration,Contrast,Block,Angle,FixTime,PrimeTime,TargetTime,MaskTime,BlockType
11,2.949801e+00,1,1,1,0,150,1,0,45,1.151023e+00,1.303732e+00,1.400978e+00,1.498181e+00,0
11,2.630382e-01,1,1,1,1,150,1,0,50,1.149772e+00,1.302508e+00,1.399731e+00,1.496961e+00,0
11,1.381648e-01,1,1,1,0,150,1,0,50,1.150597e+00,1.303301e+00,1.400525e+00,1.497739e+00,0
11,2.574190e-01,0,1,0,0,150,1,0,40,1.150783e+00,1.303518e+00,1.400753e+00,1.497955e+00,0
11,1.236107e-01,0,1,0,1,150,1,0,45,1.150846e+00,1.303599e+00,1.400821e+00,1.498038e+00,0
11,9.674130e-02,0,1,0,1,150,1,0,40,1.150746e+00,1.303502e+00,1.400787e+00,1.497941e+00,0
11,8.207129e-02,0,1,0,1,150,1,0,55,1.150679e+00,1.303451e+00,1.400664e+00,1.497878e+00,0
11,3.126176e-01,1,1,1,1,150,1,0,40,1.150562e+00,1.303330e+00,1.400546e+00,1.497764e+00,0
11,1.956269e-01,1,1,1,0,150,1,0,50,1.150699e+00,1.303455e+00,1.400678e+00,1.497892e+00,0
11,2.040514e-01,0,1,0,0,150,1,0,45,1.150716e+00,1.303467e+00,1.400709e+00,1.497906e+00,0
11,9.351608e-02,1,1,1,0,150,1,0,50,1.150828e+00,1.303583e+00,1.400805e+00,1.498022e+00,0
11,9.481764e-02,0,1,0,0,150,1,0,35,1.150509e+00,1.303294e+00,1.400413e+00,1.497695e+00,0
11,1.277225e-01,1,1,1,0,150,1,0,45,1.150727e+00,1.303494e+00,1.400719e+00,1.497923e+00,0
11,1.576970e-01,0,1,0,0,150,1,0,35,1.150782e+00,1.303508e+00,1.400755e+00,1.497971e+00,0
11,1.521886e-01,0,1,0,0,150,1,0,40,1.150789e+00,1.303538e+00,1.400761e+00,1.498086e+00,0
11,1.536909e-01,0,1,0,1,150,1,0,45,1.150768e+00,1.303526e+00,1.400746e+00,1.497961e+00,0
11,1.721442e-01,1,1,1,1,150,3.981072e-01,0,40,1.150671e+00,1.303422e+00,1.400646e+00,1.497850e+00,0
11,2.884575e-01,0,1,0,1,150,3.981072e-01,0,35,1.150723e+00,1.303460e+00,1.400703e+00,1.497886e+00,0
11,2.308825e-01,0,1,0,1,150,3.981072e-01,0,40,1.150736e+00,1.303469e+00,1.400698e+00,1.497928e+00,0
11,1.488631e-01,0,1,0,1,150,3.981072e-01,0,55,1.150795e+00,1.303555e+00,1.400788e+00,1.497996e+00,0
11,2.142885e-01,1,1,1,1,150,3.981072e-01,0,55,1.150741e+00,1.303482e+00,1.400726e+00,1.497968e+00,0
11,2.973638e-01,1,1,1,0,150,3.981072e-01,0,45,1.150804e+00,1.303538e+00,1.400781e+00,1.497996e+00,0
11,2.647197e-01,1,1,1,1,150,3.981072e-01,0,45,1.150738e+00,1.303514e+00,1.400755e+00,1.497949e+00,0
11,1.483911e-01,1,1,1,1,150,3.981072e-01,0,35,1.150703e+00,1.303457e+00,1.400700e+00,1.497915e+00,0
11,2.373360e-01,0,1,0,1,150,3.981072e-01,0,55,1.150850e+00,1.303572e+00,1.400832e+00,1.497998e+00,0
11,1.807012e-01,0,1,0,0,150,3.981072e-01,0,40,1.150755e+00,1.303508e+00,1.400752e+00,1.497950e+00,0
11,1.234130e-01,0,1,0,1,150,3.981072e-01,0,45,1.150496e+00,1.303220e+00,1.400410e+00,1.497657e+00,0
11,2.242217e-01,1,1,1,0,150,3.981072e-01,0,50,1.150725e+00,1.303434e+00,1.400692e+00,1.497938e+00,0
11,1.814027e-01,1,1,1,1,150,3.981072e-01,0,35,1.150596e+00,1.303344e+00,1.400567e+00,1.497783e+00,0
11,2.042217e-01,1,1,1,0,150,3.981072e-01,0,55,1.150771e+00,1.303545e+00,1.400771e+00,1.497981e+00,0
11,2.459827e-01,1,1,1,0,150,3.981072e-01,0,55,1.150671e+00,1.303425e+00,1.400650e+00,1.497865e+00,0
11,1.737959e-01,1,1,1,0,150,3.981072e-01,0,45,1.150624e+00,1.303380e+00,1.400604e+00,1.497820e+00,0
11,1.153525e-01,1,1,1,0,150,1.584893e-01,0,50,1.150844e+00,1.303589e+00,1.400834e+00,1.498069e+00,0
11,1.434009e-01,1,1,1,1,150,1.584893e-01,0,35,1.150706e+00,1.303457e+00,1.400702e+00,1.497902e+00,0
11,1.841196e-01,1,1,1,0,150,1.584893e-01,0,50,1.150623e+00,1.303402e+00,1.400618e+00,1.497833e+00,0
11,2.543248e-01,0,1,0,0,150,1.584893e-01,0,50,1.150708e+00,1.303464e+00,1.400687e+00,1.497903e+00,0
11,1.676268e-01,0,1,0,1,150,1.584893e-01,0,45,1.150813e+00,1.303528e+00,1.400769e+00,1.497966e+00,0
11,2.526193e-01,1,1,1,1,150,1.584893e-01,0,50,1.150709e+00,1.303442e+00,1.400686e+00,1.497902e+00,0
11,1.654710e-01,0,1,0,1,150,1.584893e-01,0,45,1.150828e+00,1.303526e+00,1.400790e+00,1.497986e+00,0
11,2.168926e-01,0,1,0,0,150,1.584893e-01,0,40,1.150764e+00,1.303520e+00,1.400742e+00,1.497958e+00,0
11,3.566608e-01,0,1,0,1,150,1.584893e-01,0,40,1.150719e+00,1.303494e+00,1.400717e+00,1.497933e+00,0
11,3.020300e-01,0,1,0,1,150,1.584893e-01,0,50,1.150667e+00,1.303464e+00,1.400661e+00,1.497879e+00,0
11,2.066090e-01,1,1,1,0,150,1.584893e-01,0,55,1.150767e+00,1.303522e+00,1.400768e+00,1.497983e+00,0
11,2.650569e-01,0,1,0,0,150,1.584893e-01,0,55,1.150555e+00,1.303304e+00,1.400528e+00,1.497745e+00,0
11,4.596440e-01,1,1,1,0,150,1.584893e-01,0,35,1.150869e+00,1.303575e+00,1.400829e+00,1.498027e+00,0
11,7.885392e-01,1,0,0,1,150,1.584893e-01,0,50,1.150627e+00,1.303355e+00,1.400596e+00,1.497795e+00,0
11,3.191513e-01,1,1,1,1,150,1.584893e-01,0,40,1.150777e+00,1.303548e+00,1.400790e+00,1.498008e+00,0
11,2.184631e-01,0,1,0,0,150,1.584893e-01,0,45,1.150641e+00,1.303392e+00,1.400616e+00,1.497896e+00,0
11,3.105206e-01,1,0,0,0,150,6.309573e-02,0,40,1.150763e+00,1.303489e+00,1.400778e+00,1.497977e+00,0
11,3.280552e-01,1,0,0,1,150,6.309573e-02,0,40,1.150851e+00,1.303605e+00,1.400848e+00,1.498063e+00,0
11,2.609397e-01,1,1,1,1,150,6.309573e-02,0,45,1.150738e+00,1.303491e+00,1.400735e+00,1.497949e+00,0
11,6.393053e-01,0,1,0,0,150,6.309573e-02,0,50,1.150723e+00,1.303484e+00,1.400655e+00,1.497866e+00,0
11,2.836551e-01,0,1,0,1,150,6.309573e-02,0,50,1.150762e+00,1.303495e+00,1.400739e+00,1.497968e+00,0
11,3.380982e-01,1,1,1,0,150,6.309573e-02,0,40,1.150632e+00,1.303410e+00,1.400631e+00,1.497833e+00,0
11,1.520045e-01,1,1,1,0,150,6.309573e-02,0,40,1.150792e+00,1.303583e+00,1.400789e+00,1.498006e+00,0
11,4.092303e-01,1,1,1,1,150,6.309573e-02,0,50,1.150707e+00,1.303466e+00,1.400685e+00,1.497901e+00,0
11,2.976741e-01,0,1,0,1,150,6.309573e-02,0,35,1.150646e+00,1.303402e+00,1.400662e+00,1.497843e+00,0
11,1.934207e-01,1,1,1,1,150,6.309573e-02,0,45,1.150735e+00,1.303492e+00,1.400716e+00,1.497931e+00,0
11,1.846648e-01,1,1,1,1,150,6.309573e-02,0,45,1.150787e+00,1.303542e+00,1.400749e+00,1.497990e+00,0
11,1.598537e-01,1,1,1,1,150,6.309573e-02,0,40,1.150735e+00,1.303492e+00,1.400736e+00,1.497977e+00,0
11,2.193514e-01,1,1,1,0,150,6.309573e-02,0,40,1.150708e+00,1.303465e+00,1.400681e+00,1.497895e+00,0
11,2.148457e-01,1,0,0,0,150,6.309573e-02,0,35,1.150716e+00,1.303462e+00,1.400688e+00,1.497901e+00,0
11,2.339378e-01,0,1,0,0,150,6.309573e-02,0,55,1.150860e+00,1.303608e+00,1.400822e+00,1.498032e+00,0
11,1.041356e-01,1,1,1,1,150,6.309573e-02,0,50,1.150744e+00,1.303476e+00,1.400696e+00,1.497910e+00,0
11,1.467424e-01,1,0,0,0,150,2.511886e-02,0,35,1.150666e+00,1.303424e+00,1.400648e+00,1.497863e+00,0
11,2.760836e-01,1,0,0,0,150,2.511886e-02,0,55,1.150790e+00,1.303554e+00,1.400800e+00,1.497952e+00,0
11,5.367094e-01,0,0,1,0,150,2.511886e-02,0,55,1.150760e+00,1.303514e+00,1.400713e+00,1.497929e+00,0
11,2.689468e-01,1,0,0,0,150,2.511886e-02,0,40,1.150714e+00,1.303474e+00,1.400743e+00,1.497934e+00,0
11,2.403083e-01,1,1,1,0,150,2.511886e-02,0,55,1.150701e+00,1.303428e+00,1.400658e+00,1.497889e+00,0
11,3.116263e-01,0,0,1,1,150,2.511886e-02,0,50,1.150731e+00,1.303567e+00,1.400727e+00,1.498001e+00,0
11,4.089622e-01,0,0,1,0,150,2.511886e-02,0,50,1.150763e+00,1.303447e+00,1.400757e+00,1.497955e+00,0
11,3.453319e-01,1,0,0,0,150,2.511886e-02,0,50,1.150821e+00,1.303533e+00,1.400781e+00,1.497993e+00,0
11,2.883362e-01,0,1,0,0,150,2.511886e-02,0,55,1.150740e+00,1.303473e+00,1.400696e+00,1.497904e+00,0
11,3.351509e-01,0,1,0,0,150,2.511886e-02,0,55,1.150665e+00,1.303428e+00,1.400670e+00,1.497888e+00,0
11,3.649142e-01,0,1,0,1,150,2.511886e-02,0,45,1.150754e+00,1.303460e+00,1.400769e+00,1.497969e+00,0
11,3.186379e-01,1,0,0,1,150,2.511886e-02,0,35,1.150776e+00,1.303467e+00,1.400718e+00,1.497946e+00,0
11,2.977453e-01,0,0,1,1,150,2.511886e-02,0,55,1.150765e+00,1.303540e+00,1.400763e+00,1.497978e+00,0
11,2.090379e-01,1,0,0,0,150,2.511886e-02,0,40,1.150514e+00,1.303264e+00,1.400509e+00,1.497723e+00,0
11,2.680265e-01,1,1,1,1,150,2.511886e-02,0,45,1.150678e+00,1.303375e+00,1.400644e+00,1.497869e+00,0
11,2.311110e-01,1,1,1,1,150,2.511886e-02,0,55,1.150672e+00,1.303406e+00,1.400657e+00,1.497865e+00,0
11,2.611471e-01,1,0,0,1,150,1.000000e-02,0,35,1.150805e+00,1.303559e+00,1.400810e+00,1.498057e+00,0
11,3.912572e-01,0,1,0,1,150,1.000000e-02,0,45,1.150693e+00,1.303450e+00,1.400669e+00,1.497886e+00,0
11,6.457265e-01,1,1,1,0,150,1.000000e-02,0,40,1.150669e+00,1.303417e+00,1.400646e+00,1.497876e+00,0
11,3.555141e-01,0,0,1,0,150,1.000000e-02,0,50,1.150700e+00,1.303445e+00,1.400690e+00,1.497905e+00,0
11,2.203891e-01,1,0,0,1,150,1.000000e-02,0,40,1.150828e+00,1.303562e+00,1.400804e+00,1.498020e+00,0
11,2.562379e-01,0,1,0,0,150,1.000000e-02,0,50,1.150720e+00,1.303463e+00,1.400708e+00,1.497924e+00,0
11,4.812281e-01,1,1,1,1,150,1.000000e-02,0,35,1.150597e+00,1.303369e+00,1.400575e+00,1.497805e+00,0
11,3.176647e-01,1,0,0,1,150,1.000000e-02,0,55,1.150763e+00,1.303519e+00,1.400741e+00,1.497947e+00,0
11,1.204363e-04,0,1,0,0,150,1.000000e-02,0,40,1.150776e+00,1.303490e+00,1.400757e+00,1.497914e+00,0
11,3.062199e-01,0,0,1,1,150,1.000000e-02,0,45,1.150698e+00,1.303429e+00,1.400629e+00,1.497842e+00,0
11,3.160550e-01,1,1,1,0,150,1.000000e-02,0,55,1.150878e+00,1.303610e+00,1.400807e+00,1.498039e+00,0
11,3.268357e-01,0,0,1,1,150,1.000000e-02,0,50,1.150677e+00,1.303421e+00,1.400662e+00,1.497862e+00,0
11,4.432794e-01,0,0,1,0,150,1.000000e-02,0,55,1.150750e+00,1.303476e+00,1.400742e+00,1.497936e+00,0
11,5.292514e-01,0,1,0,0,150,1.000000e-02,0,45,1.150603e+00,1.303375e+00,1.400576e+00,1.497804e+00,0
11,2.923471e-01,0,0,1,1,150,1.000000e-02,0,45,1.150691e+00,1.303466e+00,1.400656e+00,1.497869e+00,0
11,2.921415e-01,1,0,0,1,150,1.000000e-02,0,50,1.150749e+00,1.303486e+00,1.400742e+00,1.497909e+00,0
11,3.401824e-01,0,0,1,0,63,6.698925e-02,1,35,1.233981e+00,1.296466e+00,1.393685e+00,1.490900e+00,1
11,5.485086e-01,0,1,0,1,563,4.346763e-02,1,45,7.364182e-01,1.298893e+00,1.396108e+00,1.493324e+00,1
11,2.822482e-01,1,0,0,0,188,1.975164e-01,1,50,1.109774e+00,1.297232e+00,1.394450e+00,1.491685e+00,1
11,4.311050e-01,1,1,1,1,63,4.346763e-02,1,40,1.234924e+00,1.297382e+00,1.394597e+00,1.491833e+00,1
11,2.102728e-01,1,1,1,0,188,2.452012e-01,1,35,1.110059e+00,1.297537e+00,1.394756e+00,1.491989e+00,1
11,3.887331e-01,1,0,0,1,563,2.452012e-01,1,35,7.351794e-01,1.297638e+00,1.394848e+00,1.492022e+00,1
11,3.450974e-01,1,0,0,0,188,3.901271e-02,1,45,1.109625e+00,1.297095e+00,1.394313e+00,1.491529e+00,1
11,5.836130e-01,1,1,1,0,21,4.346763e-02,1,45,1.275901e+00,1.296709e+00,1.393994e+00,1.491172e+00,1
11,7.135890e-01,0,0,1,0,63,3.043983e-01,1,55,1.234529e+00,1.297010e+00,1.394228e+00,1.491444e+00,1
11,3.119858e-01,1,1,1,0,563,3.501437e-02,1,45,7.345773e-01,1.297047e+00,1.394242e+00,1.491457e+00,1
11,4.332183e-01,1,1,1,1,63,4.210383e-01,1,40,1.235056e+00,1.297516e+00,1.394766e+00,1.491971e+00,1
11,1.397167e+00,1,0,0,1,563,4.210383e-01,1,55,7.349304e-01,1.297308e+00,1.394601e+00,1.491814e+00,1
11,1.667849e+00,0,1,0,1,7,1.830154e-02,1,55,1.290154e+00,1.297105e+00,1.393983e+00,1.491195e+00,1
11,6.039903e-01,1,1,1,1,188,7.229706e-01,1,55,1.109719e+00,1.297186e+00,1.394404e+00,1.491618e+00,1
11,2.893697e-01,0,1,0,1,188,7.229706e-01,1,55,1.109775e+00,1.297268e+00,1.394489e+00,1.491704e+00,1
11,3.511095e-01,1,1,1,0,63,6.488747e-01,1,50,1.235181e+00,1.297664e+00,1.394884e+00,1.492114e+00,1
11,3.424390e-01,0,1,0,0,7,5.823727e-01,1,50,1.290176e+00,1.297111e+00,1.394325e+00,1.491539e+00,1
11,1.889265e-01,1,1,1,0,21,5.823727e-01,1,45,1.276621e+00,1.297419e+00,1.394652e+00,1.491867e+00,1
11,2.115131e-01,0,1,0,1,563,5.226864e-01,1,45,7.352344e-01,1.297684e+00,1.394886e+00,1.492117e+00,1
11,2.142756e-01,0,1,0,0,563,5.226864e-01,1,35,7.348513e-01,1.297304e+00,1.394520e+00,1.491735e+00,1
11,3.041635e-01,0,1,0,0,63,4.691173e-01,1,55,1.235015e+00,1.297497e+00,1.394714e+00,1.491922e+00,1
11,2.001440e-01,1,1,1,0,63,4.691173e-01,1,50,1.235228e+00,1.297697e+00,1.394951e+00,1.492141e+00,1
11,2.560728e-01,0,1,0,0,21,4.210383e-01,1,55,1.276758e+00,1.297418e+00,1.394635e+00,1.491869e+00,1
11,4.491811e-01,0,1,0,0,188,4.210383e-01,1,35,1.110008e+00,1.297433e+00,1.394687e+00,1.491933e+00,1
11,1.831857e-01,1,1,1,1,563,3.778869e-01,1,45,7.350632e-01,1.297472e+00,1.394709e+00,1.491933e+00,1
11,4.611290e-01,1,1,1,0,188,3.778869e-01,1,45,1.110383e+00,1.297835e+00,1.395060e+00,1.492290e+00,1
11,4.535364e-01,0,0,1,0,7,3.778869e-01,1,55,1.290207e+00,1.297126e+00,1.394336e+00,1.491551e+00,1
11,8.605520e-01,0,1,0,1,188,3.501437e-02,1,35,1.109424e+00,1.296890e+00,1.394107e+00,1.491336e+00,1
11,3.369415e-01,1,1,1,1,21,5.823727e-01,1,50,1.277015e+00,1.297876e+00,1.395084e+00,1.492302e+00,1
11,2.700712e-01,1,1,1,1,21,5.226864e-01,1,55,1.276264e+00,1.297082e+00,1.394299e+00,1.491528e+00,1
11,6.726856e-01,0,1,0,0,21,5.226864e-01,1,40,1.277277e+00,1.298095e+00,1.395303e+00,1.492547e+00,1
11,7.210407e-01,1,1,1,1,63,4.691173e-01,1,40,1.234498e+00,1.296984e+00,1.394203e+00,1.491424e+00,1
11,2.963348e-01,0,1,0,1,7,4.691173e-01,1,40,1.290101e+00,1.297052e+00,1.394242e+00,1.491460e+00,1
11,2.069664e-01,0,1,0,1,63,4.691173e-01,1,35,1.234707e+00,1.297210e+00,1.394390e+00,1.491558e+00,1
11,1.840034e-01,1,1,1,0,563,4.210383e-01,1,55,7.349534e-01,1.297374e+00,1.394630e+00,1.491834e+00,1
11,1.504943e-01,1,1,1,1,563,4.210383e-01,1,45,7.351158e-01,1.297558e+00,1.394775e+00,1.491999e+00,1
11,1.592373e-01,1,1,1,0,21,3.778869e-01,1,55,1.276395e+00,1.297194e+00,1.394412e+00,1.491611e+00,1
