Subject,RT,Choice,Accuracy,Target,PrimeType,PrimeDuration,FoilContrast,TargetContrast,PP,Angle,BlockType
5,3.902267e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
5,3.975067e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
5,5.322083e-01,1,0,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
5,5.900875e-01,1,0,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
5,6.211096e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,45,-1
5,1.227012e+00,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
5,3.130372e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,45,-1
5,7.950415e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
5,4.662571e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,45,-1
5,2.386106e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
5,5.234619e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
5,2.532754e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
5,2.981475e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
5,2.373836e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
5,7.303034e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
5,1.002523e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
5,1.113354e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
5,1.613713e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
5,8.966102e-02,0,1,0,0,100,5.000000e-02,2.500000e-01,76,35,-1
5,1.411932e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,50,-1
5,2.703942e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,50,-1
5,1.062821e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,35,-1
5,2.372278e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,45,-1
5,7.447131e-02,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
5,7.507039e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
5,0,0,0,0,0,0,0,0,0,0,0
5,2.256102e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,40,0
5,1.434360e-01,0,0,1,0,100,5.000000e-02,1.000000e-01,76,35,0
5,1.276825e-04,1,1,1,0,100,5.000000e-02,1.000000e-01,76,40,0
5,7.164146e-02,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
5,3.592230e-02,1,1,1,0,100,5.000000e-02,1.000000e-01,76,35,0
5,2.462706e-02,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
5,2.276374e-02,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
5,2.287727e-01,0,0,1,0,100,5.000000e-02,1.000000e-01,76,35,0
5,8.287694e-02,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
5,7.039452e-02,0,1,0,0,100,5.000000e-02,1.000000e-01,76,55,0
5,2.638142e-02,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
5,8.782396e-02,0,1,0,0,100,5.000000e-02,1.000000e-01,76,40,0
5,9.919587e-02,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
5,8.608470e-02,0,0,1,0,100,5.000000e-02,1.000000e-01,76,45,0
5,5.760089e-02,0,1,0,0,100,5.000000e-02,1.000000e-01,76,55,0
5,1.345447e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,55,0
5,1.675943e-01,0,0,1,0,100,5.000000e-02,1.000000e-01,76,45,0
5,6.393462e-02,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
5,1.082164e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
5,7.897371e-02,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
5,8.347068e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,35,0
5,2.395690e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,45,0
5,1.490163e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,55,0
5,8.939576e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,45,0
5,1.264755e-04,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
5,4.398023e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,40,0
5,1.412503e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
5,1.419804e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,55,0
5,7.967400e-02,0,0,1,0,100,5.000000e-02,7.500000e-02,76,45,0
5,9.114371e-02,0,0,1,0,100,5.000000e-02,7.500000e-02,76,40,0
5,4.995113e+00,2,0,1,0,100,5.000000e-02,7.500000e-02,76,45,0
5,6.848562e-02,0,1,0,0,100,5.000000e-02,7.500000e-02,76,45,0
5,1.607030e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,40,0
5,8.080926e-02,0,0,1,0,100,5.000000e-02,7.500000e-02,76,55,0
5,3.325832e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,45,0
5,6.303037e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,35,0
5,5.237768e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,35,0
5,3.498038e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
5,2.307429e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,35,0
5,5.325841e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,55,0
5,7.101467e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,40,0
5,6.644453e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,35,0
5,3.248130e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,50,0
5,1.504811e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,45,0
5,3.835153e-01,1,0,0,0,100,5.000000e-02,6.250000e-02,76,40,0
