Subject,RT,Choice,Accuracy,Target,PrimeType,PrimeDuration,FoilContrast,TargetContrast,PP,Angle,BlockType
1,4.995406e+00,2,0,0,0,100,5.000000e-02,1.250000e-01,76,55,0
1,3.109297e+00,0,0,1,0,100,5.000000e-02,1.250000e-01,76,55,0
1,2.311347e+00,1,1,1,0,100,5.000000e-02,1.250000e-01,76,55,0
1,2.129340e+00,1,0,0,0,100,5.000000e-02,1.250000e-01,76,40,0
1,2.242673e+00,0,1,0,0,100,5.000000e-02,1.250000e-01,76,40,0
1,1.911447e+00,1,0,0,0,100,5.000000e-02,1.250000e-01,76,35,0
1,1.017350e+00,0,0,1,0,100,5.000000e-02,1.250000e-01,76,50,0
1,4.503427e+00,1,1,1,0,100,5.000000e-02,1.250000e-01,76,35,0
1,1.937716e+00,0,1,0,0,100,5.000000e-02,1.250000e-01,76,55,0
1,2.042536e+00,1,1,1,0,100,5.000000e-02,1.250000e-01,76,50,0
1,1.615262e+00,0,1,0,0,100,5.000000e-02,1.250000e-01,76,50,0
1,1.453159e+00,0,0,1,0,100,5.000000e-02,1.250000e-01,76,50,0
1,1.153699e+00,1,0,0,0,100,5.000000e-02,1.250000e-01,76,50,0
1,1.002318e+00,0,1,0,0,100,5.000000e-02,1.250000e-01,76,35,0
1,1.520665e+00,1,1,1,0,100,5.000000e-02,1.250000e-01,76,40,0
1,1.578196e+00,0,0,1,0,100,5.000000e-02,1.250000e-01,76,40,0
1,1.674106e+00,1,0,0,0,100,5.000000e-02,1.000000e-01,76,45,0
1,1.485450e+00,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
1,1.344384e+00,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
1,1.361397e+00,0,0,1,0,100,5.000000e-02,1.000000e-01,76,35,0
1,1.353855e+00,1,1,1,0,100,5.000000e-02,1.000000e-01,76,40,0
1,1.290033e+00,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
1,4.773261e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
1,5.847832e-01,0,0,1,0,100,5.000000e-02,1.000000e-01,76,40,0
1,3.840533e-01,1,0,0,0,100,5.000000e-02,1.000000e-01,76,35,0
1,1.327455e+00,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
1,1.504764e+00,0,0,1,0,100,5.000000e-02,1.000000e-01,76,40,0
1,1.434785e+00,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
1,8.640664e-01,1,0,0,0,100,5.000000e-02,1.000000e-01,76,55,0
1,9.002152e-01,0,0,1,0,100,5.000000e-02,1.000000e-01,76,50,0
1,2.182488e+00,0,0,1,0,100,5.000000e-02,1.000000e-01,76,45,0
1,1.317531e+00,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
1,1.487443e+00,1,0,0,0,100,5.000000e-02,7.500000e-02,76,45,0
1,9.076376e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,35,0
1,1.061279e+00,1,0,0,0,100,5.000000e-02,7.500000e-02,76,55,0
1,6.812342e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,40,0
1,1.140647e+00,0,1,0,0,100,5.000000e-02,7.500000e-02,76,40,0
1,7.095271e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
1,5.354402e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,55,0
1,7.370370e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,35,0
1,5.221888e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,50,0
1,1.163166e-01,1,0,0,0,100,5.000000e-02,7.500000e-02,76,40,0
1,4.538995e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
1,1.346233e-04,1,1,1,0,100,5.000000e-02,7.500000e-02,76,50,0
1,1.233253e+00,1,1,1,0,100,5.000000e-02,7.500000e-02,76,55,0
1,7.743406e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
1,4.138567e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,40,0
1,4.203454e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,40,0
1,5.542892e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,55,0
1,7.066565e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,35,0
1,6.611979e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,50,0
1,5.855774e-01,1,0,0,0,100,5.000000e-02,6.250000e-02,76,50,0
1,3.686854e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,55,0
1,3.283993e-02,0,0,1,0,100,5.000000e-02,6.250000e-02,76,45,0
1,1.502640e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,35,0
1,4.388978e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,35,0
1,1.067808e+00,1,0,0,0,100,5.000000e-02,6.250000e-02,76,45,0
