Subject,RT,Choice,Accuracy,Target,PrimeType,PrimeDuration,FoilContrast,TargetContrast,PP,Angle,BlockType
7,1.122986e-01,1,0,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
7,1.078934e-02,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
7,5.373805e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
7,3.872489e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
7,2.497966e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
7,4.149183e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
7,1.972447e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
7,1.246640e-04,0,0,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
7,1.156177e-01,1,0,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
7,1.892816e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
7,1.243625e-04,0,0,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
7,1.234568e-04,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
7,2.906541e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,35,-1
7,2.223575e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,45,-1
7,4.922584e-01,1,0,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
7,3.754952e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
7,4.152567e-01,1,0,0,0,100,5.000000e-02,2.500000e-01,76,50,-1
7,4.615904e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
7,4.662981e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
7,5.021942e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
7,5.690027e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
7,1.001076e+00,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
7,5.913016e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,35,-1
7,7.265489e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
