Output,Start-time,End-time,Initials,Notes
Subject_1.csv-Subject_1.mat,2016\12\13\2:30 PM,2016\12\13\2:56 PM,KWP,Nothing to report
Subject_2.csv-Subject_2.mat,2016\12\13\2:21 PM,2016\12\13\2:46 PM,KWP,Nothing to report
Subject_3.csv-Subject_3.mat,2016\12\13\2:58 PM,2016\12\13\3:23 PM,KWP,Nothing to report
Subject_4.csv-Subject_4.mat,2016\12\13\2:54 PM,2016\12\13\3:17 PM,KWP,No stickers on keys
Subject_5.csv-Subject_5.mat,2016\12\13\2:54 PM,2016\12\13\3:19 PM,KWP,Nothing to report
Subject_6.csv-Subject_6.mat,2016\12\13\3:38 PM,2016\12\13\4:03 PM,KWP,Nothing to report
Subject_7.csv-Subject_7.mat,2016\12\13\4:31 PM,2016\12\13\4:55 PM,KWP,Nothing to report
Subject_9.csv-Subject_9.mat,2016\12\14\2:08 PM,2016\12\14\2:36 PM,KWP,Nothing to report
Subject_10.csv-Subject_10.mat,2016\12\14\2:08 PM,2016\12\14\2:32 PM,KWP,Nothing to report
Subject_11.csv-Subject_11.mat,2016\12\14\2:44 PM,2016\12\14\3:11 PM,KWP,Briefly left study
Subject_12.csv-Subject_12.mat,2016\12\14\2:38 PM,2016\12\14\3:02 PM,KWP,Nothing to report
Subject_13.csv-Subject_13.mat,2016\12\14\3:19 PM,2016\12\14\3:45 PM,KWP,Nothing to report
Subject_14.csv-Subject_14.mat,2016\12\14\4:04 PM,2016\12\14\4:31 PM,KWP,Nothing to report
