Subject,RT,Choice,Accuracy,Target,PrimeType,PrimeDuration,FoilContrast,TargetContrast,PP,Angle,BlockType
3,1.308134e+00,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
3,5.344919e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,45,-1
3,2.881955e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
3,3.874874e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
3,4.426583e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
3,1.994169e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
3,1.187049e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
3,1.765943e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
3,4.403887e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
3,2.297175e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
3,2.276987e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
3,8.140687e-02,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
3,1.809079e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
3,1.324812e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
3,1.255684e-04,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
3,1.578666e-04,0,1,0,0,100,5.000000e-02,2.500000e-01,76,50,-1
3,1.006731e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
3,1.237569e-04,0,1,0,0,100,5.000000e-02,2.500000e-01,76,35,-1
3,0,0,0,0,0,0,0,0,0,0,0
3,9.859493e-02,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
3,1.252666e-04,1,1,1,0,100,5.000000e-02,1.000000e-01,76,40,0
3,1.265734e-02,0,0,1,0,100,5.000000e-02,1.000000e-01,76,50,0
3,1.210790e+00,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
3,2.330456e-01,0,0,1,0,100,5.000000e-02,1.000000e-01,76,35,0
3,1.987604e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,55,0
3,7.977298e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
3,1.728414e-01,0,0,1,0,100,5.000000e-02,1.000000e-01,76,40,0
3,7.679284e-02,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,0
3,6.494626e-02,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
3,1.253772e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,45,0
3,4.633430e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,45,0
3,4.378378e-02,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
3,1.252666e-04,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
3,1.252666e-04,0,0,1,0,100,5.000000e-02,1.000000e-01,76,45,0
3,1.505868e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,55,0
3,8.753104e-02,1,1,1,0,100,5.000000e-02,1.000000e-01,76,40,0
3,1.309357e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,55,0
3,2.072993e-02,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
3,5.893649e-02,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
3,1.255684e-04,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
3,2.257814e-02,0,1,0,0,100,5.000000e-02,7.500000e-02,76,35,0
3,7.887356e-01,1,0,0,0,100,5.000000e-02,7.500000e-02,76,50,0
3,3.568735e-02,1,0,0,0,100,5.000000e-02,7.500000e-02,76,50,0
3,1.252657e-04,1,1,1,0,100,5.000000e-02,7.500000e-02,76,50,0
3,1.203910e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,50,0
3,1.784192e-01,1,0,0,0,100,5.000000e-02,7.500000e-02,76,50,0
3,1.252666e-04,0,0,1,0,100,5.000000e-02,7.500000e-02,76,40,0
3,1.561028e+00,1,0,0,0,100,5.000000e-02,7.500000e-02,76,50,0
3,6.413275e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,35,0
3,2.385377e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,55,0
3,6.806283e-02,0,1,0,0,100,5.000000e-02,7.500000e-02,76,35,0
3,3.201478e-02,0,1,0,0,100,5.000000e-02,7.500000e-02,76,35,0
3,1.577005e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,55,0
3,3.892978e-02,1,1,1,0,100,5.000000e-02,7.500000e-02,76,45,0
3,8.429917e-02,0,1,0,0,100,5.000000e-02,7.500000e-02,76,45,0
3,2.553681e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,40,0
3,1.264736e-04,1,0,0,0,100,5.000000e-02,7.500000e-02,76,55,0
3,1.152581e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,40,0
3,7.494998e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,55,0
3,2.550071e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,40,0
3,3.883348e+00,0,0,1,0,100,5.000000e-02,6.250000e-02,76,35,0
3,6.866857e-01,1,0,0,0,100,5.000000e-02,6.250000e-02,76,40,0
3,1.858646e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,45,0
3,3.318866e-02,0,1,0,0,100,5.000000e-02,6.250000e-02,76,50,0
3,8.692463e-02,0,0,1,0,100,5.000000e-02,6.250000e-02,76,35,0
3,2.505555e-01,1,0,0,0,100,5.000000e-02,6.250000e-02,76,40,0
3,1.360146e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,50,0
3,3.211701e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,55,0
3,1.871649e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,35,0
3,1.584692e-04,1,0,0,0,100,5.000000e-02,6.250000e-02,76,50,0
3,1.777126e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,55,0
3,1.649312e+00,0,1,0,0,100,5.000000e-02,6.250000e-02,76,50,0
3,1.341413e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,35,0
3,2.073850e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,50,0
3,1.279833e-04,1,1,1,0,100,5.000000e-02,6.250000e-02,76,55,0
3,6.295389e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,45,0
3,1.078318e-02,0,0,1,0,100,5.000000e-02,6.250000e-02,76,45,0
3,1.255684e-04,0,1,0,0,100,5.000000e-02,6.250000e-02,76,55,0
