Subject,RT,Choice,Accuracy,Target,PrimeType,PrimeDuration,FoilContrast,TargetContrast,PP,Angle,BlockType
5,6.984885e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
5,4.818661e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
5,5.154336e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
5,6.321776e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
5,4.322696e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
5,5.823050e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
5,5.823919e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,45,-1
5,5.491253e-01,1,0,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
5,4.501098e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
5,6.337904e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
5,4.670642e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
5,6.837071e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
5,5.337176e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
5,4.837411e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
5,6.670405e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
5,5.837300e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,45,-1
5,5.336841e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
5,5.336947e-01,1,0,0,0,100,5.000000e-02,2.500000e-01,76,35,-1
5,4.337160e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
5,3.837516e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,50,-1
5,5.671651e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
5,5.170998e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
5,4.337088e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
5,6.004444e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
5,4.504035e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,35,-1
5,4.671381e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
5,4.337178e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
5,4.837574e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
5,0,0,0,0,0,0,0,0,0,0,0
5,5.170545e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
5,4.337867e-01,1,0,0,0,100,5.000000e-02,1.000000e-01,76,55,0
5,4.170485e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,55,0
5,3.837655e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,0
5,6.503774e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
5,5.170965e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,55,0
5,4.004068e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,45,0
5,4.004210e-01,1,0,0,0,100,5.000000e-02,1.000000e-01,76,55,0
5,3.504092e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
5,4.170222e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,0
5,4.504041e-01,0,0,1,0,100,5.000000e-02,1.000000e-01,76,45,0
5,4.504081e-01,1,0,0,0,100,5.000000e-02,1.000000e-01,76,45,0
5,5.170757e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
5,5.337191e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
5,4.670847e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,40,0
5,3.837420e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,40,0
5,4.170789e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,45,0
5,4.170708e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,35,0
5,5.170594e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
5,4.003990e-01,1,0,0,0,100,5.000000e-02,1.000000e-01,76,35,0
5,4.837360e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,45,0
5,4.336883e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,55,0
5,7.003859e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
5,3.837531e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,45,0
5,4.170542e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,40,0
5,3.670828e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,45,0
5,4.004038e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
5,4.504651e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
5,4.337396e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,45,0
5,4.337507e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,40,0
5,3.670451e-01,1,0,0,0,100,5.000000e-02,7.500000e-02,76,50,0
5,4.170572e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,50,0
5,4.838528e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
5,3.837531e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
5,4.836980e-01,1,0,0,0,100,5.000000e-02,7.500000e-02,76,50,0
5,3.170934e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,50,0
5,3.337190e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,50,0
5,4.004059e-01,1,0,0,0,100,5.000000e-02,7.500000e-02,76,50,0
5,3.670774e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,45,0
5,4.504032e-01,1,0,0,0,100,5.000000e-02,7.500000e-02,76,50,0
5,4.170723e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,35,0
5,5.004027e-01,1,0,0,0,100,5.000000e-02,6.250000e-02,76,45,0
5,4.170877e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,55,0
5,4.837393e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,55,0
5,6.004172e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,50,0
5,4.170569e-01,1,0,0,0,100,5.000000e-02,6.250000e-02,76,55,0
5,4.004098e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,35,0
5,4.170829e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,40,0
5,5.004211e-01,1,0,0,0,100,5.000000e-02,6.250000e-02,76,50,0
5,4.504050e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,50,0
5,3.503917e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,50,0
5,5.003948e-01,1,0,0,0,100,5.000000e-02,6.250000e-02,76,50,0
5,3.337453e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,40,0
5,4.004011e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,50,0
5,5.337315e-01,1,0,0,0,100,5.000000e-02,6.250000e-02,76,55,0
5,5.170639e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,40,0
5,1.100350e+00,0,0,1,0,100,5.000000e-02,6.250000e-02,76,50,0
5,1.050385e+00,1,0,0,0,100,5.000000e-02,6.250000e-02,76,35,0
5,5.003972e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,50,0
5,3.338612e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,45,0
5,3.838072e-01,1,0,0,0,100,5.000000e-02,5.625000e-02,76,50,0
5,4.337278e-01,0,0,1,0,100,5.000000e-02,5.625000e-02,76,50,0
5,4.004005e-01,0,0,1,0,100,5.000000e-02,5.625000e-02,76,55,0
5,4.837795e-01,1,0,0,0,100,5.000000e-02,5.625000e-02,76,45,0
5,4.504195e-01,1,0,0,0,100,5.000000e-02,5.625000e-02,76,45,0
5,3.170816e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,45,0
5,6.004251e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,45,0
5,5.170681e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,40,0
5,4.837852e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,50,0
5,6.004051e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,35,0
5,5.670651e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,50,0
5,4.837272e-01,0,0,1,0,100,5.000000e-02,5.625000e-02,76,40,0
5,4.503537e-01,1,1,1,0,100,5.000000e-02,5.625000e-02,76,55,0
5,4.170720e-01,1,1,1,0,100,5.000000e-02,5.625000e-02,76,35,0
5,4.170666e-01,1,1,1,0,100,5.000000e-02,5.625000e-02,76,35,0
5,4.504286e-01,1,1,1,0,100,5.000000e-02,5.625000e-02,76,35,0
5,6.169719e-01,1,1,1,0,100,5.000000e-02,5.625000e-02,76,55,0
5,5.670461e-01,1,1,1,0,100,5.000000e-02,5.625000e-02,76,55,0
5,6.003958e-01,1,0,0,0,100,5.000000e-02,5.625000e-02,76,55,0
5,6.837201e-01,1,1,1,0,100,5.000000e-02,5.625000e-02,76,40,0
5,6.170664e-01,0,0,1,0,50,5.000000e-02,1.000000e-01,76,45,1
5,5.670621e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,1
5,8.837118e-01,0,0,1,0,500,5.000000e-02,1.000000e-01,76,50,1
5,6.170419e-01,1,0,0,0,50,5.000000e-02,1.000000e-01,76,45,1
5,5.004027e-01,0,1,0,0,50,5.000000e-02,1.000000e-01,76,50,1
5,7.003578e-01,0,1,0,0,1000,5.000000e-02,1.000000e-01,76,45,1
5,5.173425e-01,0,1,0,0,1000,5.000000e-02,1.000000e-01,76,45,1
5,5.837795e-01,0,1,0,0,50,5.000000e-02,1.000000e-01,76,50,1
5,5.837219e-01,0,0,1,0,1000,5.000000e-02,1.000000e-01,76,45,1
5,6.670459e-01,1,0,0,0,100,5.000000e-02,1.000000e-01,76,35,1
5,4.670231e-01,0,0,1,0,50,5.000000e-02,1.648721e-01,76,55,1
5,6.503880e-01,1,1,1,0,500,5.000000e-02,1.648721e-01,76,55,1
5,5.670461e-01,1,1,1,0,500,5.000000e-02,1.648721e-01,76,50,1
5,6.337723e-01,1,1,1,0,1000,5.000000e-02,1.648721e-01,76,40,1
5,6.837189e-01,1,0,0,0,100,5.000000e-02,1.648721e-01,76,40,1
5,4.837330e-01,0,0,1,0,500,5.000000e-02,1.648721e-01,76,50,1
5,4.837381e-01,1,1,1,0,500,5.000000e-02,1.648721e-01,76,50,1
5,5.170699e-01,1,1,1,0,50,5.000000e-02,1.648721e-01,76,40,1
5,5.337577e-01,1,1,1,0,100,5.000000e-02,1.648721e-01,76,45,1
5,4.003990e-01,1,1,1,0,500,5.000000e-02,1.648721e-01,76,35,1
5,3.837637e-01,0,0,1,0,1000,5.000000e-02,1.648721e-01,76,35,1
5,5.670682e-01,1,1,1,0,100,5.000000e-02,1.648721e-01,76,45,1
5,5.337248e-01,1,1,1,0,500,5.000000e-02,1.648721e-01,76,40,1
5,3.837601e-01,1,1,1,0,1000,5.000000e-02,1.648721e-01,76,55,1
5,5.006333e-01,1,1,1,0,500,5.000000e-02,1.648721e-01,76,55,1
5,4.170548e-01,1,1,1,0,100,5.000000e-02,1.648721e-01,76,50,1
5,5.837632e-01,1,1,1,0,500,5.000000e-02,1.648721e-01,76,45,1
5,4.837212e-01,1,0,0,0,500,5.000000e-02,1.648721e-01,76,55,1
5,5.337276e-01,0,1,0,0,100,5.000000e-02,1.648721e-01,76,50,1
5,4.670769e-01,0,0,1,0,500,5.000000e-02,1.648721e-01,76,40,1
5,4.840333e-01,1,1,1,0,100,5.000000e-02,1.648721e-01,76,50,1
5,6.837168e-01,0,1,0,0,100,5.000000e-02,1.648721e-01,76,55,1
5,7.337186e-01,1,1,1,0,500,5.000000e-02,1.648721e-01,76,50,1
5,6.170655e-01,1,0,0,0,1000,5.000000e-02,1.648721e-01,76,55,1
5,4.503552e-01,0,0,1,0,50,5.000000e-02,1.648721e-01,76,40,1
5,5.337442e-01,0,0,1,0,100,5.000000e-02,1.648721e-01,76,50,1
5,4.669996e-01,0,1,0,0,50,5.000000e-02,1.648721e-01,76,40,1
5,6.337572e-01,0,1,0,0,500,5.000000e-02,1.648721e-01,76,35,1
5,5.337390e-01,0,1,0,0,50,5.000000e-02,1.648721e-01,76,45,1
5,1.417002e+00,0,1,0,0,50,5.000000e-02,1.648721e-01,76,45,1
5,5.004443e-01,1,1,1,0,500,5.000000e-02,1.648721e-01,76,40,1
5,6.005434e-01,0,1,0,0,50,5.000000e-02,1.648721e-01,76,40,1
5,5.670884e-01,0,1,0,0,1000,5.000000e-02,1.648721e-01,76,35,1
5,5.003821e-01,0,1,0,0,500,5.000000e-02,1.648721e-01,76,55,1
5,6.670332e-01,1,0,0,0,50,5.000000e-02,1.648721e-01,76,35,1
5,4.504072e-01,0,1,0,0,1000,5.000000e-02,1.648721e-01,76,50,1
5,7.337235e-01,1,1,1,0,500,5.000000e-02,1.648721e-01,76,40,1
5,5.837626e-01,1,1,1,0,1000,5.000000e-02,1.648721e-01,76,40,1
5,5.837228e-01,1,1,1,0,100,5.000000e-02,1.648721e-01,76,45,1
5,5.169975e-01,1,1,1,0,100,5.000000e-02,1.648721e-01,76,55,1
5,6.337765e-01,0,1,0,0,1000,5.000000e-02,1.194560e-01,76,45,1
5,5.170410e-01,0,0,1,0,50,5.000000e-02,1.194560e-01,76,50,1
5,4.671122e-01,1,1,1,0,100,5.000000e-02,1.194560e-01,76,55,1
5,4.170847e-01,1,1,1,0,50,5.000000e-02,1.194560e-01,76,55,1
5,4.670711e-01,0,1,0,0,50,5.000000e-02,1.194560e-01,76,55,1
5,8.503537e-01,0,1,0,0,100,5.000000e-02,1.194560e-01,76,45,1
5,5.004184e-01,0,0,1,0,500,5.000000e-02,1.194560e-01,76,55,1
5,9.003778e-01,1,0,0,0,500,5.000000e-02,1.194560e-01,76,45,1
5,6.337216e-01,1,1,1,0,500,5.000000e-02,1.194560e-01,76,35,1
5,5.337013e-01,1,1,1,0,1000,5.000000e-02,1.194560e-01,76,35,1
5,5.170690e-01,0,1,0,0,1000,5.000000e-02,1.194560e-01,76,55,1
5,6.337518e-01,1,1,1,0,1000,5.000000e-02,1.194560e-01,76,50,1
5,5.503948e-01,1,1,1,0,50,5.000000e-02,1.194560e-01,76,50,1
5,6.004510e-01,1,1,1,0,500,5.000000e-02,1.194560e-01,76,35,1
5,5.503988e-01,0,1,0,0,500,5.000000e-02,1.194560e-01,76,50,1
5,6.003756e-01,1,1,1,0,1000,5.000000e-02,1.194560e-01,76,50,1
5,5.837330e-01,0,1,0,0,50,5.000000e-02,1.194560e-01,76,45,1
5,6.837222e-01,1,1,1,0,50,5.000000e-02,1.194560e-01,76,40,1
5,5.504075e-01,1,1,1,0,100,5.000000e-02,1.194560e-01,76,50,1
5,6.337306e-01,1,1,1,0,1000,5.000000e-02,1.194560e-01,76,45,1
5,4.670702e-01,0,1,0,0,50,5.000000e-02,9.459595e-02,76,35,1
5,5.170702e-01,1,1,1,0,500,5.000000e-02,9.459595e-02,76,50,1
5,4.670705e-01,1,1,1,0,100,5.000000e-02,9.459595e-02,76,35,1
5,5.003713e-01,0,1,0,0,500,5.000000e-02,9.459595e-02,76,35,1
5,5.170790e-01,1,1,1,0,50,5.000000e-02,9.459595e-02,76,45,1
5,5.004271e-01,0,1,0,0,100,5.000000e-02,9.459595e-02,76,40,1
5,4.503685e-01,0,1,0,0,1000,5.000000e-02,9.459595e-02,76,50,1
5,5.504166e-01,0,1,0,0,100,5.000000e-02,9.459595e-02,76,35,1
5,4.503866e-01,1,1,1,0,50,5.000000e-02,9.459595e-02,76,55,1
5,3.837190e-01,0,0,1,0,500,5.000000e-02,9.459595e-02,76,45,1
5,8.170559e-01,0,0,1,1,500,5.000000e-02,7.831395e-02,76,40,2
5,5.337387e-01,1,1,1,1,100,5.000000e-02,7.831395e-02,76,45,2
5,4.670575e-01,0,1,0,0,1000,5.000000e-02,7.831395e-02,76,50,2
5,5.004039e-01,0,1,0,0,100,5.000000e-02,7.831395e-02,76,40,2
5,5.170684e-01,1,1,1,2,50,5.000000e-02,7.831395e-02,76,40,2
5,5.004009e-01,0,1,0,2,100,5.000000e-02,7.831395e-02,76,55,2
5,4.337142e-01,0,1,0,0,500,5.000000e-02,7.831395e-02,76,50,2
5,5.337620e-01,0,1,0,2,100,5.000000e-02,7.831395e-02,76,55,2
5,4.504056e-01,0,1,0,0,500,5.000000e-02,7.831395e-02,76,55,2
5,5.003767e-01,0,0,1,1,50,5.000000e-02,7.831395e-02,76,40,2
5,1.050342e+00,1,1,1,1,1000,5.000000e-02,7.831395e-02,76,50,2
5,4.170753e-01,0,1,0,1,50,5.000000e-02,7.831395e-02,76,35,2
5,5.004377e-01,0,1,0,0,500,5.000000e-02,7.831395e-02,76,40,2
5,4.336949e-01,0,1,0,0,1000,5.000000e-02,7.831395e-02,76,50,2
5,5.003743e-01,0,1,0,2,100,5.000000e-02,7.831395e-02,76,55,2
5,5.170715e-01,0,1,0,1,1000,5.000000e-02,7.831395e-02,76,40,2
5,6.837267e-01,0,0,1,1,1000,5.000000e-02,7.831395e-02,76,55,2
5,4.837438e-01,1,1,1,2,50,5.000000e-02,7.831395e-02,76,55,2
5,5.670633e-01,0,1,0,1,500,5.000000e-02,7.831395e-02,76,50,2
5,5.170570e-01,0,1,0,1,50,5.000000e-02,7.831395e-02,76,35,2
5,4.670772e-01,1,1,1,0,500,5.000000e-02,7.831395e-02,76,45,2
5,5.336919e-01,1,1,1,2,500,5.000000e-02,7.831395e-02,76,45,2
5,4.504008e-01,0,1,0,2,100,5.000000e-02,7.831395e-02,76,55,2
5,6.004097e-01,1,1,1,0,500,5.000000e-02,7.831395e-02,76,35,2
5,6.503653e-01,1,1,1,0,500,5.000000e-02,7.831395e-02,76,35,2
5,4.336376e-01,0,1,0,0,500,5.000000e-02,7.831395e-02,76,55,2
