Subject,RT,Choice,Accuracy,Target,PrimeType,PrimeDuration,FoilContrast,TargetContrast,PP,Angle,BlockType
7,4.651026e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
7,3.651886e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,50,-1
7,3.488613e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
7,3.656006e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,50,-1
7,3.822039e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
7,3.156509e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,50,-1
7,3.824336e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
7,3.657980e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
7,4.334974e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,50,-1
7,3.671132e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
7,0,0,0,0,0,0,0,0,0,0,0
7,5.837451e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,0
7,4.170955e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,0
7,5.004307e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,40,0
7,3.837696e-01,1,0,0,0,100,5.000000e-02,1.000000e-01,76,35,0
7,4.837427e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
7,4.170385e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,45,0
7,4.171037e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
7,4.337513e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
7,4.173772e-01,1,0,0,0,100,5.000000e-02,1.000000e-01,76,50,0
7,3.837693e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,40,0
7,3.671078e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
7,6.504360e-01,0,0,1,0,100,5.000000e-02,1.000000e-01,76,50,0
7,4.503654e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
7,3.837110e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,40,0
7,4.838040e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
7,4.504239e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
7,4.171037e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
7,4.670909e-01,0,0,1,0,100,5.000000e-02,1.000000e-01,76,35,0
7,4.171188e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
7,4.337422e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
7,4.171025e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,55,0
7,3.504330e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
7,4.837333e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
7,5.004996e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,40,0
7,3.670996e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,55,0
7,4.338080e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,40,0
7,4.837683e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,50,0
7,3.671524e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,45,0
7,3.505287e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
7,3.670954e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,40,0
