Output,Start-time,End-time,Study-type|Prime-type|Calibration-type,Initials,Notes
Subject_1.csv-Subject_1.mat,2017\9\21\2:41 PM,2017\9\21\3:10 PM,1|2|2,KWP,Eye strain
Subject_2.csv-Subject_2.mat,2017\9\21\2:58 PM,2017\9\21\3:27 PM,1|2|2,KWP,Nothing to report
Subject_3.csv-Subject_3.mat,2017\9\21\2:59 PM,2017\9\21\3:27 PM,1|2|2,KWP,Capslock?
Subject_4.csv-Subject_4.mat,2017\9\21\3:28 PM,2017\9\21\3:55 PM,1|2|2,KWP,Nothing to report
Subject_5.csv-Subject_5.mat,2017\9\21\4:00 PM,2017\9\21\4:28 PM,1|2|2,KWP,Nothing to report
Subject_6.csv-Subject_6.mat,2017\9\22\11:48 AM,2017\9\22\12:22 AM,1|2|2,KWP,Nothing to report
Subject_7.csv-Subject_7.mat,2017\9\22\12:12 AM,2017\9\22\12:45 AM,1|2|2,KWP,Hard in middle
Subject_8.csv-Subject_8.mat,2017\9\22\12:22 AM,2017\9\22\12:51 AM,1|2|2,KWP,Nothing to report
Subject_9.csv-Subject_9.mat,2017\9\22\12:41 AM,2017\9\22\1:10 PM,1|2|2,KWP,Nothing to report
Subject_10.csv-Subject_10.mat,2017\9\22\2:32 PM,2017\9\22\3:00 PM,1|2|2,KWP,Nothing to report
Subject_11.csv-Subject_11.mat,2017\9\22\2:42 PM,2017\9\22\3:11 PM,1|2|2,KWP,Nothing to report
