RT,Choice,Accuracy,Target,PrimeType,PrimeDuration,FoilContrast,TargetContrast,PP,Angle
1.113421e+00,0,0,1,0,50,5.000000e-02,7.500000e-02,76,35
5.731281e-01,0,0,1,0,50,5.000000e-02,5.000000e-02,76,55
6.117351e-01,0,0,1,0,400,5.000000e-02,5.000000e-02,76,40
6.089538e-01,0,1,0,0,400,5.000000e-02,6.875000e-02,76,55
3.627976e-01,0,1,0,0,400,5.000000e-02,6.875000e-02,76,40
7.087770e-01,0,1,0,0,50,5.000000e-02,5.625000e-02,76,45
3.941610e-01,1,1,1,0,400,2.000000e-01,2.750000e-01,76,35
4.596119e-01,1,1,1,0,50,2.000000e-01,2.750000e-01,76,35
4.077737e-01,1,0,0,0,400,2.000000e-01,2.000000e-01,76,40
3.827275e-01,0,1,0,0,400,2.000000e-01,4.000000e-01,76,40
3.443484e-01,1,1,1,0,50,5.000000e-02,7.500000e-02,76,45
4.610932e-01,0,1,0,0,400,5.000000e-02,5.625000e-02,76,40
9.420488e-01,0,0,1,0,50,5.000000e-02,6.250000e-02,76,35
3.441787e-01,1,1,1,0,50,2.000000e-01,3.000000e-01,76,50
3.073001e-01,0,0,1,0,50,2.000000e-01,2.000000e-01,76,50
2.338299e-01,1,1,1,0,400,2.000000e-01,2.250000e-01,76,50
2.271846e-01,1,1,1,0,400,2.000000e-01,3.000000e-01,76,35
3.482685e-01,1,1,1,0,50,5.000000e-02,6.875000e-02,76,35
3.675049e-01,1,1,1,0,400,2.000000e-01,3.000000e-01,76,50
5.058174e-01,1,0,0,0,400,5.000000e-02,6.250000e-02,76,55
5.220703e-01,0,0,1,0,50,2.000000e-01,2.250000e-01,76,35
4.278418e-01,0,0,1,0,400,5.000000e-02,6.250000e-02,76,55
4.184913e-01,0,1,0,0,400,5.000000e-02,1.000000e-01,76,35
4.917652e-01,0,0,1,0,50,5.000000e-02,5.000000e-02,76,55
2.760183e-01,1,1,1,0,50,5.000000e-02,7.500000e-02,76,45
4.118639e-01,1,0,0,0,50,2.000000e-01,2.000000e-01,76,55
3.109166e-01,1,1,1,0,50,2.000000e-01,2.750000e-01,76,50
4.365735e-01,1,1,1,0,50,2.000000e-01,2.500000e-01,76,40
4.870895e-01,0,1,0,0,400,5.000000e-02,1.000000e-01,76,55
5.979895e-01,0,1,0,0,400,5.000000e-02,5.625000e-02,76,50
6.502955e-01,0,0,1,0,50,5.000000e-02,5.625000e-02,76,40
5.463774e-01,0,0,1,0,50,5.000000e-02,5.000000e-02,76,55
6.148200e-01,1,1,1,0,50,5.000000e-02,6.875000e-02,76,40
4.945093e-01,0,1,0,0,400,2.000000e-01,2.250000e-01,76,55
4.112990e-01,0,1,0,0,400,2.000000e-01,2.250000e-01,76,50
3.582194e-01,1,1,1,0,50,5.000000e-02,5.625000e-02,76,50
4.331974e-01,1,1,1,0,400,5.000000e-02,1.000000e-01,76,40
7.285641e-01,1,1,1,0,50,2.000000e-01,2.250000e-01,76,55
7.393912e-01,0,1,0,0,400,2.000000e-01,2.500000e-01,76,55
5.586871e-01,0,1,0,0,50,2.000000e-01,2.500000e-01,76,45
4.935852e-01,0,1,0,0,50,2.000000e-01,2.750000e-01,76,45
2.741842e-01,1,1,1,0,400,2.000000e-01,3.000000e-01,76,55
2.871726e-01,0,1,0,0,50,2.000000e-01,2.750000e-01,76,35
4.661555e-01,0,1,0,0,400,5.000000e-02,1.000000e-01,76,35
3.519294e-01,0,1,0,0,50,5.000000e-02,7.500000e-02,76,50
2.940591e-01,1,1,1,0,50,2.000000e-01,3.000000e-01,76,50
2.737357e-01,0,1,0,0,50,2.000000e-01,2.750000e-01,76,50
3.050234e-01,1,1,1,0,400,2.000000e-01,2.750000e-01,76,40
2.875155e-01,1,1,1,0,400,5.000000e-02,6.875000e-02,76,45
3.064136e-01,1,1,1,0,400,5.000000e-02,6.875000e-02,76,45
6.439795e-01,0,1,0,0,400,2.000000e-01,2.000000e-01,76,55
5.560619e-01,0,1,0,0,400,2.000000e-01,2.250000e-01,76,35
6.179550e-01,0,0,1,0,400,5.000000e-02,6.250000e-02,76,40
4.578740e-01,1,1,1,0,50,2.000000e-01,2.500000e-01,76,45
6.301393e-01,1,0,0,0,400,5.000000e-02,5.625000e-02,76,45
4.049915e-01,0,1,0,0,50,2.000000e-01,4.000000e-01,76,55
4.252615e-01,0,1,0,0,50,5.000000e-02,6.250000e-02,76,50
4.876296e-01,0,1,0,0,50,2.000000e-01,2.500000e-01,76,55
6.029884e-01,1,1,1,0,50,5.000000e-02,7.500000e-02,76,50
4.673665e-01,1,1,1,0,50,5.000000e-02,6.250000e-02,76,55
2.694085e-01,0,1,0,0,400,5.000000e-02,6.875000e-02,76,55
3.704576e-01,0,0,1,0,50,2.000000e-01,2.000000e-01,76,45
3.181499e-01,0,1,0,0,50,5.000000e-02,5.000000e-02,76,35
5.276585e-01,0,1,0,0,50,2.000000e-01,4.000000e-01,76,40
3.170970e-01,0,1,0,0,400,5.000000e-02,7.500000e-02,76,50
3.417515e-01,0,1,0,0,50,2.000000e-01,2.500000e-01,76,50
2.860150e-01,1,1,1,0,400,5.000000e-02,7.500000e-02,76,40
4.776137e-01,1,1,1,0,50,5.000000e-02,5.625000e-02,76,55
4.729432e-01,1,1,1,0,50,2.000000e-01,2.250000e-01,76,40
5.362936e-01,1,0,0,0,400,5.000000e-02,6.875000e-02,76,50
3.078098e-01,1,1,1,0,50,5.000000e-02,6.875000e-02,76,55
6.101777e-01,1,1,1,0,400,2.000000e-01,2.250000e-01,76,50
3.280597e-01,0,1,0,0,400,5.000000e-02,6.875000e-02,76,45
5.278591e-01,0,1,0,0,400,2.000000e-01,3.000000e-01,76,40
5.249414e-01,0,0,1,0,400,2.000000e-01,2.000000e-01,76,40
4.175740e-01,1,0,0,0,50,5.000000e-02,6.875000e-02,76,50
1.014004e+00,1,0,0,0,400,5.000000e-02,5.000000e-02,76,35
3.067587e-01,0,1,0,0,400,2.000000e-01,4.000000e-01,76,40
3.526602e-01,1,1,1,0,50,2.000000e-01,4.000000e-01,76,50
3.195294e-01,0,1,0,0,400,2.000000e-01,3.000000e-01,76,45
3.037115e-01,0,1,0,0,400,5.000000e-02,1.000000e-01,76,55
2.248279e-01,0,1,0,0,400,5.000000e-02,6.250000e-02,76,45
2.123348e-01,1,1,1,0,400,5.000000e-02,5.000000e-02,76,50
2.642971e-01,0,1,0,0,50,2.000000e-01,3.000000e-01,76,45
2.686409e-01,0,1,0,0,50,5.000000e-02,6.875000e-02,76,35
2.126641e-01,1,1,1,0,50,5.000000e-02,5.625000e-02,76,35
2.580712e-01,0,1,0,0,50,5.000000e-02,6.250000e-02,76,35
3.501881e-01,0,0,1,0,400,2.000000e-01,2.250000e-01,76,55
4.116086e-01,0,0,1,0,50,2.000000e-01,2.000000e-01,76,50
3.416557e-01,0,1,0,0,50,2.000000e-01,2.250000e-01,76,40
3.261465e-01,0,0,1,0,50,5.000000e-02,5.000000e-02,76,40
4.794337e-01,0,1,0,0,400,2.000000e-01,3.000000e-01,76,55
3.115191e-01,0,1,0,0,400,5.000000e-02,5.000000e-02,76,50
4.086866e-01,0,0,1,0,50,2.000000e-01,2.250000e-01,76,50
2.412946e-01,1,1,1,0,50,5.000000e-02,6.250000e-02,76,40
3.776790e-01,0,1,0,0,400,5.000000e-02,7.500000e-02,76,40
3.661275e-01,0,1,0,0,400,2.000000e-01,2.750000e-01,76,35
4.275912e-01,0,1,0,0,400,5.000000e-02,6.250000e-02,76,40
3.324591e-01,1,1,1,0,50,2.000000e-01,2.500000e-01,76,55
2.783339e-01,0,1,0,0,400,5.000000e-02,5.625000e-02,76,45
2.833654e-01,0,1,0,0,400,2.000000e-01,2.500000e-01,76,45
3.351241e-01,1,1,1,0,400,2.000000e-01,2.250000e-01,76,55
2.117584e-01,1,1,1,0,400,2.000000e-01,2.250000e-01,76,45
3.349552e-01,1,1,1,0,400,5.000000e-02,6.250000e-02,76,35
3.005453e-01,1,0,0,0,50,5.000000e-02,7.500000e-02,76,50
2.522324e-01,1,1,1,0,50,5.000000e-02,5.625000e-02,76,50
4.714546e-01,0,1,0,0,400,2.000000e-01,3.000000e-01,76,45
3.270770e-01,0,0,1,0,50,5.000000e-02,6.875000e-02,76,50
1.540693e-01,1,0,0,0,400,2.000000e-01,2.000000e-01,76,35
3.125253e-01,0,1,0,0,400,2.000000e-01,2.000000e-01,76,45
2.660153e-01,0,1,0,0,50,5.000000e-02,1.000000e-01,76,50
2.642411e-01,1,1,1,0,50,5.000000e-02,6.250000e-02,76,55
3.829559e-01,1,0,0,0,400,5.000000e-02,5.625000e-02,76,50
2.546806e-01,0,1,0,0,400,2.000000e-01,2.750000e-01,76,40
2.177208e-01,1,1,1,0,50,5.000000e-02,1.000000e-01,76,55
2.327446e-01,0,1,0,0,50,5.000000e-02,7.500000e-02,76,40
2.684532e-01,1,1,1,0,50,5.000000e-02,7.500000e-02,76,40
3.080087e-01,1,0,0,0,50,5.000000e-02,6.250000e-02,76,35
2.208758e-01,1,0,0,0,50,5.000000e-02,5.625000e-02,76,45
2.941104e-01,1,1,1,0,50,2.000000e-01,3.000000e-01,76,35
1.966817e+00,1,1,1,0,400,2.000000e-01,2.500000e-01,76,50
1.740293e-01,1,1,1,0,50,5.000000e-02,1.000000e-01,76,40
4.935244e-01,0,1,0,0,400,5.000000e-02,5.625000e-02,76,55
2.905003e-01,1,1,1,0,400,5.000000e-02,6.875000e-02,76,45
4.005185e-01,1,1,1,0,400,2.000000e-01,2.000000e-01,76,35
2.601388e-01,1,1,1,0,50,5.000000e-02,5.625000e-02,76,40
4.464290e-01,1,1,1,0,50,5.000000e-02,1.000000e-01,76,55
3.164937e-01,0,1,0,0,50,2.000000e-01,4.000000e-01,76,55
3.407769e-01,1,0,0,0,50,5.000000e-02,5.000000e-02,76,35
2.279067e+00,1,1,1,0,400,5.000000e-02,5.625000e-02,76,40
3.951792e-01,0,0,1,0,400,5.000000e-02,5.625000e-02,76,40
3.574184e-01,0,1,0,0,400,5.000000e-02,6.250000e-02,76,50
2.597899e-01,1,0,0,0,400,5.000000e-02,7.500000e-02,76,40
3.572192e-01,1,1,1,0,400,5.000000e-02,5.625000e-02,76,40
3.257300e-01,1,1,1,0,400,5.000000e-02,7.500000e-02,76,45
4.456465e-01,0,1,0,0,50,2.000000e-01,3.000000e-01,76,55
3.069576e-01,1,1,1,0,50,2.000000e-01,2.500000e-01,76,40
3.487295e-01,1,1,1,0,400,2.000000e-01,3.000000e-01,76,45
2.647123e-01,1,1,1,0,400,2.000000e-01,3.000000e-01,76,45
4.111237e-01,1,0,0,0,50,5.000000e-02,5.625000e-02,76,35
4.900739e-01,1,1,1,0,400,5.000000e-02,6.250000e-02,76,35
3.501903e-01,0,1,0,0,50,2.000000e-01,4.000000e-01,76,45
2.847928e-01,0,1,0,0,50,5.000000e-02,7.500000e-02,76,55
3.494094e-01,0,1,0,0,50,5.000000e-02,6.875000e-02,76,40
4.185110e-01,0,1,0,0,400,2.000000e-01,4.000000e-01,76,40
3.925677e-01,1,1,1,0,50,2.000000e-01,2.000000e-01,76,45
6.155226e-01,0,1,0,0,400,5.000000e-02,7.500000e-02,76,40
3.945224e-01,0,1,0,0,50,5.000000e-02,5.625000e-02,76,45
4.883771e-01,1,1,1,0,50,2.000000e-01,2.500000e-01,76,40
3.084834e-01,0,1,0,0,400,5.000000e-02,5.000000e-02,76,40
2.223131e-01,1,1,1,0,50,2.000000e-01,2.500000e-01,76,55
2.905884e-01,1,0,0,0,50,5.000000e-02,5.625000e-02,76,40
3.397758e-01,0,1,0,0,400,5.000000e-02,1.000000e-01,76,50
3.208328e-01,0,0,1,0,400,5.000000e-02,6.250000e-02,76,40
2.565480e-01,1,0,0,0,400,5.000000e-02,6.250000e-02,76,35
3.124295e-01,1,1,1,0,50,5.000000e-02,5.625000e-02,76,55
3.390942e-01,0,1,0,0,50,2.000000e-01,2.000000e-01,76,35
3.273986e-01,1,0,0,0,400,5.000000e-02,6.875000e-02,76,40
3.659812e-01,1,0,0,0,50,5.000000e-02,5.625000e-02,76,55
3.421650e-01,0,1,0,0,50,2.000000e-01,2.500000e-01,76,50
4.538013e-01,1,1,1,0,50,2.000000e-01,4.000000e-01,76,55
3.625076e-01,1,0,0,0,50,5.000000e-02,5.625000e-02,76,40
1.400252e-01,1,1,1,0,400,2.000000e-01,3.000000e-01,76,35
2.485608e-01,0,1,0,0,400,2.000000e-01,4.000000e-01,76,35
2.286770e-01,1,1,1,0,400,2.000000e-01,2.500000e-01,76,45
5.320507e-01,0,1,0,0,50,5.000000e-02,6.250000e-02,76,50
6.043761e-01,1,0,0,0,50,5.000000e-02,7.500000e-02,76,45
3.319152e-01,0,1,0,0,400,2.000000e-01,2.750000e-01,76,35
3.406328e-01,1,0,0,0,400,5.000000e-02,7.500000e-02,76,55
