Subject,RT,Choice,Accuracy,Target,PrimeType,PrimeDuration,FoilContrast,TargetContrast,PP,Angle,BlockType
9,1.006448e+00,0,1,0,0,100,5.000000e-02,1.250000e-01,76,35,0
9,4.136448e-01,0,1,0,0,100,5.000000e-02,1.250000e-01,76,40,0
9,9.157083e-01,0,0,1,0,100,5.000000e-02,1.250000e-01,76,35,0
9,4.943544e-01,1,0,0,0,100,5.000000e-02,1.250000e-01,76,55,0
9,2.483663e-01,0,1,0,0,100,5.000000e-02,1.250000e-01,76,55,0
9,3.173460e-01,0,0,1,0,100,5.000000e-02,1.250000e-01,76,45,0
9,6.230573e-01,1,0,0,0,100,5.000000e-02,1.250000e-01,76,50,0
9,5.328440e-01,0,0,1,0,100,5.000000e-02,1.250000e-01,76,50,0
9,4.783457e-01,0,0,1,0,100,5.000000e-02,1.250000e-01,76,55,0
9,3.139248e-01,1,1,1,0,100,5.000000e-02,1.250000e-01,76,55,0
9,3.079806e-01,1,1,1,0,100,5.000000e-02,1.250000e-01,76,50,0
9,5.359153e-02,1,0,0,0,100,5.000000e-02,1.250000e-01,76,50,0
9,8.292642e-02,1,1,1,0,100,5.000000e-02,1.250000e-01,76,40,0
9,2.459896e-01,1,1,1,0,100,5.000000e-02,1.250000e-01,76,40,0
9,6.729171e-02,1,0,0,0,100,5.000000e-02,1.250000e-01,76,40,0
9,1.340196e-04,1,0,0,0,100,5.000000e-02,1.250000e-01,76,45,0
9,2.172596e-02,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
9,3.956982e-01,1,0,0,0,100,5.000000e-02,1.000000e-01,76,45,0
9,2.024130e-01,0,0,1,0,100,5.000000e-02,1.000000e-01,76,50,0
9,1.291496e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,35,0
9,5.948558e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,55,0
9,5.047980e-02,1,1,1,0,100,5.000000e-02,1.000000e-01,76,40,0
9,1.264309e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,40,0
9,4.995145e+00,2,0,0,0,100,5.000000e-02,1.000000e-01,76,45,0
9,3.185974e-01,1,0,0,0,100,5.000000e-02,1.000000e-01,76,45,0
9,4.094358e-02,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,0
9,8.560560e-02,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
9,1.355288e-04,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
9,7.766193e-03,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
9,1.992183e-04,1,1,1,0,100,5.000000e-02,1.000000e-01,76,35,0
9,1.379436e-04,1,1,1,0,100,5.000000e-02,1.000000e-01,76,40,0
9,1.340195e-04,1,1,1,0,100,5.000000e-02,1.000000e-01,76,35,0
9,2.183855e-03,1,1,1,0,100,5.000000e-02,7.500000e-02,76,45,0
9,2.168787e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,45,0
9,5.483302e-02,1,1,1,0,100,5.000000e-02,7.500000e-02,76,35,0
9,1.361325e-04,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
9,8.190135e-02,1,1,1,0,100,5.000000e-02,7.500000e-02,76,35,0
9,1.397547e-04,1,0,0,0,100,5.000000e-02,7.500000e-02,76,45,0
9,2.043678e-02,1,1,1,0,100,5.000000e-02,7.500000e-02,76,45,0
9,1.346233e-04,1,1,1,0,100,5.000000e-02,7.500000e-02,76,50,0
9,1.663171e-04,0,1,0,0,100,5.000000e-02,7.500000e-02,76,45,0
9,1.388491e-04,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
9,2.235320e-02,0,1,0,0,100,5.000000e-02,7.500000e-02,76,40,0
9,2.600801e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,45,0
9,1.602168e-02,1,1,1,0,100,5.000000e-02,7.500000e-02,76,55,0
9,1.352269e-04,0,1,0,0,100,5.000000e-02,7.500000e-02,76,55,0
9,1.623931e-04,0,1,0,0,100,5.000000e-02,7.500000e-02,76,40,0
9,1.156855e-02,0,1,0,0,100,5.000000e-02,7.500000e-02,76,40,0
9,1.352270e-04,1,0,0,0,100,5.000000e-02,6.250000e-02,76,50,0
9,9.673466e-02,1,1,1,0,100,5.000000e-02,6.250000e-02,76,35,0
9,3.581190e-02,1,1,1,0,100,5.000000e-02,6.250000e-02,76,45,0
9,3.266908e-02,0,1,0,0,100,5.000000e-02,6.250000e-02,76,40,0
9,1.545451e-04,1,1,1,0,100,5.000000e-02,6.250000e-02,76,45,0
9,6.873815e-02,0,1,0,0,100,5.000000e-02,6.250000e-02,76,50,0
9,1.355288e-04,1,1,1,0,100,5.000000e-02,6.250000e-02,76,40,0
9,4.995387e+00,2,0,1,0,100,5.000000e-02,6.250000e-02,76,45,0
9,1.739248e-01,1,0,0,0,100,5.000000e-02,6.250000e-02,76,50,0
9,1.808057e-04,0,1,0,0,100,5.000000e-02,6.250000e-02,76,40,0
