Subject,RT,Choice,Accuracy,Target,PrimeType,PrimeDuration,FoilContrast,TargetContrast,PP,Angle,BlockType
8,5.065072e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,45,-1
8,3.173517e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,35,-1
8,1.350617e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,35,-1
8,8.855836e-02,1,1,1,0,100,5.000000e-02,2.500000e-01,76,45,-1
8,7.586007e-02,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
8,7.741095e-03,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
8,1.524314e-04,0,1,0,0,100,5.000000e-02,2.500000e-01,76,35,-1
8,1.736286e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,1.415764e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,1.428734e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
8,0,0,0,0,0,0,0,0,0,0,0
8,2.671626e-01,1,1,1,0,400,5.000000e-02,1.000000e-01,76,40,1
8,1.470253e-02,0,1,0,0,400,5.000000e-02,1.000000e-01,76,45,1
8,2.923632e-02,1,1,1,0,400,5.000000e-02,1.000000e-01,76,40,1
8,1.225711e-01,0,1,0,0,50,5.000000e-02,1.000000e-01,76,55,1
8,1.086923e-01,0,1,0,0,400,5.000000e-02,1.000000e-01,76,55,1
8,7.146583e-02,0,1,0,0,400,5.000000e-02,1.000000e-01,76,40,1
8,1.319060e-04,0,1,0,0,400,5.000000e-02,1.000000e-01,76,55,1
8,5.830965e-02,1,1,1,0,50,5.000000e-02,1.000000e-01,76,50,1
8,9.493391e-02,0,1,0,0,400,5.000000e-02,1.000000e-01,76,45,1
8,1.700367e-01,0,1,0,0,400,5.000000e-02,1.000000e-01,76,45,1
8,1.331135e-04,1,1,1,0,400,5.000000e-02,6.065307e-02,76,40,1
8,4.877439e-02,0,1,0,0,400,5.000000e-02,6.065307e-02,76,55,1
8,4.614050e-02,0,1,0,0,400,5.000000e-02,6.065307e-02,76,50,1
8,2.512071e-01,1,1,1,0,50,5.000000e-02,6.065307e-02,76,50,1
8,5.198387e-01,1,0,0,0,50,5.000000e-02,6.065307e-02,76,50,1
8,2.817700e-01,1,1,1,0,50,5.000000e-02,6.065307e-02,76,35,1
8,2.698124e-01,0,0,1,0,400,5.000000e-02,6.065307e-02,76,50,1
8,4.095050e-01,0,1,0,0,50,5.000000e-02,6.065307e-02,76,40,1
8,3.281873e-01,0,1,0,0,50,5.000000e-02,6.065307e-02,76,55,1
8,3.296666e-01,0,1,0,0,50,5.000000e-02,6.065307e-02,76,50,1
8,2.193136e-01,1,1,1,0,400,5.000000e-02,6.065307e-02,76,35,1
8,2.974879e-01,0,1,0,0,50,5.000000e-02,6.065307e-02,76,50,1
8,2.362392e-01,1,1,1,0,50,5.000000e-02,6.065307e-02,76,40,1
8,2.658586e-01,1,1,1,0,50,5.000000e-02,6.065307e-02,76,40,1
8,3.023431e-01,1,1,1,0,50,5.000000e-02,6.065307e-02,76,40,1
8,2.012926e-01,0,1,0,0,400,5.000000e-02,6.065307e-02,76,45,1
8,1.838976e-01,1,1,1,0,50,5.000000e-02,6.065307e-02,76,50,1
8,1.029886e-01,0,1,0,0,50,5.000000e-02,6.065307e-02,76,45,1
8,1.378414e-01,1,0,0,0,400,5.000000e-02,6.065307e-02,76,40,1
8,2.195907e-01,0,0,1,0,400,5.000000e-02,6.065307e-02,76,35,1
8,4.251251e-01,1,0,0,0,50,5.000000e-02,6.065307e-02,76,40,1
8,3.670204e-01,0,1,0,0,50,5.000000e-02,6.065307e-02,76,50,1
8,7.115188e-01,0,0,1,0,400,5.000000e-02,6.065307e-02,76,35,1
8,6.819435e-01,1,0,0,0,400,5.000000e-02,6.065307e-02,76,40,1
8,4.135132e-01,0,1,0,0,50,5.000000e-02,6.065307e-02,76,50,1
8,2.837118e-01,0,1,0,0,400,5.000000e-02,6.065307e-02,76,45,1
8,4.389261e-01,0,0,1,0,50,5.000000e-02,6.065307e-02,76,45,1
8,2.124457e+00,1,1,1,0,50,5.000000e-02,6.065307e-02,76,35,1
