Subject,RT,Choice,Accuracy,Target,PrimeType,PrimeDuration,FoilContrast,TargetContrast,PP,Angle,BlockType
16,1.048270e+00,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
16,4.818147e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
16,4.820463e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
16,4.155685e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
16,4.487968e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
16,4.489773e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,50,-1
16,4.322349e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
16,4.156760e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
16,5.001693e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
16,3.671094e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
16,0,0,0,0,0,0,0,0,0,0,0
16,9.001481e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
16,4.169235e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,35,0
16,4.336846e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
16,4.170663e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,40,0
16,4.337520e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,35,0
16,3.838425e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,55,0
16,3.337567e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,35,0
16,3.503908e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
16,4.337553e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,45,0
16,4.170457e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,45,0
16,3.837060e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,55,0
16,3.503872e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,35,0
16,3.004128e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,55,0
16,3.503404e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
16,3.003548e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
16,4.503800e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,55,0
16,4.503637e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,45,0
16,4.837179e-01,0,0,1,0,100,5.000000e-02,1.000000e-01,76,55,0
16,7.502872e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
16,4.170587e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
16,3.836421e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,55,0
16,5.337173e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
16,6.171234e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
16,5.002040e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,45,0
16,5.840195e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,45,0
16,6.171171e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,35,0
16,3.837595e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,50,0
16,5.002460e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,35,0
16,5.669562e-01,1,0,0,0,100,5.000000e-02,7.500000e-02,76,35,0
16,8.503811e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,45,0
16,4.335874e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,45,0
16,4.504642e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,35,0
16,8.670185e-01,1,0,0,0,100,5.000000e-02,7.500000e-02,76,55,0
16,4.670385e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,55,0
16,1.083607e+00,1,1,1,0,100,5.000000e-02,7.500000e-02,76,35,0
16,3.837513e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
16,5.170648e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
16,4.335859e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,55,0
16,2.837464e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,50,0
16,4.002333e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,55,0
16,4.170904e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,35,0
16,3.837770e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,40,0
16,3.837963e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,45,0
16,4.839464e-01,1,0,0,0,100,5.000000e-02,6.250000e-02,76,50,0
16,4.003377e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,45,0
16,4.337145e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,45,0
16,5.503541e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,55,0
16,6.002992e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,40,0
16,7.003246e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,35,0
16,6.336558e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,45,0
16,4.335977e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,40,0
16,4.837432e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,35,0
16,3.670191e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,55,0
16,4.669857e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,50,0
16,5.003429e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,50,0
16,8.670134e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,35,0
16,3.503615e-01,1,0,0,0,100,5.000000e-02,6.250000e-02,76,35,0
16,4.504108e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,35,0
16,7.170414e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,40,0
16,6.003463e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,45,0
16,6.836718e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,50,0
16,3.503525e-01,1,0,0,0,100,5.000000e-02,5.625000e-02,76,40,0
16,5.170657e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,55,0
16,4.836925e-01,1,1,1,0,100,5.000000e-02,5.625000e-02,76,45,0
16,4.837269e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,55,0
16,4.336711e-01,0,0,1,0,100,5.000000e-02,5.625000e-02,76,40,0
16,6.170745e-01,1,1,1,0,100,5.000000e-02,5.625000e-02,76,35,0
16,5.837134e-01,1,1,1,0,100,5.000000e-02,5.625000e-02,76,35,0
16,4.837532e-01,1,1,1,0,100,5.000000e-02,5.625000e-02,76,35,0
16,4.671031e-01,1,1,1,0,100,5.000000e-02,5.625000e-02,76,35,0
16,4.837541e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,50,0
16,8.839038e-01,1,1,1,0,100,5.000000e-02,5.625000e-02,76,55,0
16,4.837212e-01,1,0,0,0,100,5.000000e-02,5.625000e-02,76,50,0
16,4.504419e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,35,0
16,5.670482e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,50,0
16,6.170256e-01,0,0,1,0,100,5.000000e-02,5.625000e-02,76,35,0
16,4.003917e-01,1,1,1,0,100,5.000000e-02,5.625000e-02,76,50,0
16,4.504093e-01,0,0,1,0,100,5.000000e-02,5.625000e-02,76,55,0
16,6.003988e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,40,0
16,4.337260e-01,0,1,0,0,100,5.000000e-02,5.625000e-02,76,40,0
16,6.337207e-01,0,1,0,0,1000,5.000000e-02,1.000000e-01,76,50,1
16,3.337045e-01,0,1,0,0,50,5.000000e-02,1.000000e-01,76,45,1
16,5.172921e-01,1,1,1,0,50,5.000000e-02,1.000000e-01,76,40,1
16,5.171155e-01,1,1,1,0,500,5.000000e-02,1.000000e-01,76,40,1
16,3.501635e-01,1,1,1,0,1000,5.000000e-02,1.000000e-01,76,55,1
16,3.670843e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,1
16,4.835639e-01,1,1,1,0,50,5.000000e-02,1.000000e-01,76,55,1
16,3.501738e-01,0,1,0,0,1000,5.000000e-02,1.000000e-01,76,55,1
16,3.671148e-01,0,1,0,0,50,5.000000e-02,1.000000e-01,76,45,1
16,3.837643e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,1
16,6.004024e-01,1,1,1,0,50,5.000000e-02,6.065307e-02,76,35,1
16,3.170647e-01,1,1,1,0,100,5.000000e-02,6.065307e-02,76,35,1
16,4.167439e-01,1,1,1,0,100,5.000000e-02,6.065307e-02,76,40,1
16,6.170772e-01,1,0,0,0,1000,5.000000e-02,6.065307e-02,76,40,1
16,4.337999e-01,0,0,1,0,1000,5.000000e-02,6.065307e-02,76,55,1
16,6.505262e-01,1,0,0,0,1000,5.000000e-02,6.065307e-02,76,55,1
16,6.170462e-01,0,1,0,0,50,5.000000e-02,6.065307e-02,76,35,1
16,7.503600e-01,0,1,0,0,50,5.000000e-02,6.065307e-02,76,55,1
16,5.000758e-01,0,0,1,0,1000,5.000000e-02,6.065307e-02,76,35,1
16,4.837173e-01,1,1,1,0,50,5.000000e-02,6.065307e-02,76,45,1
16,4.670859e-01,0,1,0,0,50,5.000000e-02,9.565287e-02,76,40,1
16,4.671581e-01,1,1,1,0,1000,5.000000e-02,9.565287e-02,76,50,1
16,4.837284e-01,1,1,1,0,500,5.000000e-02,9.565287e-02,76,40,1
16,5.170373e-01,1,0,0,0,500,5.000000e-02,9.565287e-02,76,50,1
16,8.173185e-01,0,1,0,0,500,5.000000e-02,9.565287e-02,76,35,1
16,4.503942e-01,1,1,1,0,1000,5.000000e-02,9.565287e-02,76,45,1
16,4.503758e-01,0,1,0,0,50,5.000000e-02,9.565287e-02,76,40,1
16,3.670536e-01,0,1,0,0,100,5.000000e-02,9.565287e-02,76,35,1
16,3.004409e-01,0,1,0,0,50,5.000000e-02,9.565287e-02,76,45,1
