Output,Start-time,End-time,Study-type|Prime-type|Calibration-type,Initials,Notes
Subject_1.csv-Subject_1.mat,2017\10\20\2:23 PM,2017\10\20\2:47 PM,1|2|2,KWP,Nothing to report
Subject_2.csv-Subject_2.mat,2017\10\20\2:32 PM,2017\10\20\2:55 PM,1|2|2,KWP,Nothing to report
Subject_3.csv-Subject_3.mat,2017\10\20\3:32 PM,2017\10\20\3:54 PM,1|2|2,KWP,Nothing to report
Subject_5.csv-Subject_5.mat,2017\10\20\4:28 PM,2017\10\20\5:04 PM,1|2|2,KWP,Nothing to report
Subject_6.csv-Subject_6.mat,2017\10\20\4:46 PM,2017\10\20\5:10 PM,1|2|2,KWP,Nothing to report
Subject_7.csv-Subject_7.mat,2017\10\24\11:00 AM,2017\10\24\11:23 AM,1|2|2,KWP,Nothing to report
Subject_8.csv-Subject_8.mat,2017\10\24\1:01 PM,2017\10\24\1:25 PM,1|2|2,NJ,N/A
Subject_10.csv-Subject_10.mat,2017\10\24\1:33 PM,2017\10\24\1:55 PM,1|2|2,NJ,N/A
Subject_13.csv-Subject_13.mat,2017\10\24\2:24 PM,2017\10\24\2:46 PM,1|2|2,NJ,N/A
Subject_12.csv-Subject_12.mat,2017\10\24\2:14 PM,2017\10\24\2:37 PM,1|2|2,NJ,N/A
Subject_14.csv-Subject_14.mat,2017\10\24\3:58 PM,2017\10\24\4:22 PM,1|2|2,KWP,Nothing to report
Subject_15.csv-Subject_15.mat,2017\10\26\2:10 PM,2017\10\26\2:32 PM,1|2|2,NJ,N/A
Subject_16.csv-Subject_16.mat,2017\10\26\2:58 PM,2017\10\26\3:19 PM,1|2|2,NJ,N/A
Subject_17.csv-Subject_17.mat,2017\10\26\3:20 PM,2017\10\26\3:44 PM,1|2|2,sj,none
Subject_18.csv-Subject_18.mat,2017\10\26\3:51 PM,2017\10\26\4:13 PM,1|2|2,sj,done in 13 minutes
Subject_19.csv-Subject_19.mat,2017\10\26\3:20 PM,2017\10\26\4:31 PM,1|2|2,sj,none
Subject_20.csv-Subject_20.mat,2017\10\26\4:57 PM,2017\10\26\5:19 PM,1|2|2,sj,none
Subject_21.csv-Subject_21.mat,2017\10\26\5:13 PM,2017\10\26\5:37 PM,1|2|2,sj,none
Subject_22.csv-Subject_22.mat,2017\10\26\5:28 PM,2017\10\26\5:52 PM,1|2|2,sj,nonne
Subject_23.csv-Subject_23.mat,2017\10\27\9:21 AM,2017\10\27\9:49 AM,1|2|2,rk,N/A
Subject_24.csv-Subject_24.mat,2017\10\27\9:26 AM,2017\10\27\9:57 AM,1|2|2,RK,N/A
Subject_25.csv-Subject_25.mat,2017\10\27\9:34 AM,2017\10\27\10:00 AM,1|2|2,RK,N/A
Subject_26.csv-Subject_26.mat,2017\10\27\10:06 AM,2017\10\27\10:31 AM,1|2|2,RK,N/A
Subject_29.csv-Subject_29.mat,2017\10\27\10:59 AM,2017\10\27\11:23 AM,1|2|2,RK,N/A
Subject_31.csv-Subject_31.mat,2017\10\27\11:30 AM,2017\10\27\11:53 AM,1|2|2,RK,N/A
Subject_32.csv-Subject_32.mat,2017\10\27\3:34 PM,2017\10\27\3:57 PM,1|2|2,RK,N/A
Subject_33.csv-Subject_33.mat,2017\10\27\3:48 PM,2017\10\27\4:13 PM,1|2|2,RK,N/A
Subject_34.csv-Subject_34.mat,2017\10\27\4:41 PM,2017\10\27\5:12 PM,1|2|2,RK,N/A
Subject_36.csv-Subject_36.mat,2017\11\1\4:15 PM,2017\11\1\4:55 PM,1|2|2,LH,N/A
Subject_37.csv-Subject_37.mat,2017\11\1\4:37 PM,2017\11\1\5:11 PM,1|2|2,lh,N/A
Subject_38.csv-Subject_38.mat,2017\11\1\4:58 PM,2017\11\1\5:25 PM,1|2|2,lh,N/A
Subject_35.csv-Subject_35.mat,2017\11\1\2:54 PM,2017\11\1\4:39 PM,1|2|2,lh,N/A
Subject_39.csv-Subject_39.mat,2017\11\1\5:15 PM,2017\11\1\5:41 PM,1|2|2,lh,N/A
Subject_40.csv-Subject_40.mat,2017\11\2\12:01 AM,2017\11\2\12:22 AM,1|2|2,NJ,N/A
Subject_42.csv-Subject_42.mat,2017\11\2\12:22 AM,2017\11\2\12:44 AM,1|2|2,NJ,N/A
Subject_44.csv-Subject_44.mat,2017\11\2\1:23 PM,2017\11\2\1:47 PM,1|2|2,NJ,N/A
Subject_46.csv-Subject_46.mat,2017\11\2\2:25 PM,2017\11\2\2:50 PM,1|2|2,NJ,N/A
Subject_45.csv-Subject_45.mat,2017\11\2\2:18 PM,2017\11\2\2:45 PM,1|2|2,NJ,N/A
Subject_47.csv-Subject_47.mat,2017\11\2\3:14 PM,2017\11\2\3:36 PM,1|2|2,sj,none
Subject_50.csv-Subject_50.mat,2017\11\2\3:14 PM,2017\11\2\4:37 PM,1|2|2,sj,n/a
Subject_51.csv-Subject_51.mat,2017\11\2\5:00 PM,2017\11\2\5:22 PM,1|2|2,sj,n/a
Subject_52.csv-Subject_52.mat,2017\11\2\5:29 PM,2017\11\2\5:51 PM,1|2|2,sj,n/a
Subject_53.csv-Subject_53.mat,2017\11\2\5:53 PM,2017\11\2\6:13 PM,1|2|2,sj,n/a
Subject_54.csv-Subject_54.mat,2017\11\3\3:22 PM,2017\11\3\3:43 PM,1|2|2,KWP,Nothing to report
Subject_55.csv-Subject_55.mat,2017\11\3\3:46 PM,2017\11\3\4:11 PM,1|2|2,KWP,Nothing to report
