Subject,RT,Choice,Accuracy,Target,PrimeType,PrimeDuration,FoilContrast,TargetContrast,PP,Angle,BlockType
8,7.983286e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,50,-1
8,4.984923e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
8,4.485230e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
8,3.988777e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
8,4.162268e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,5.491443e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
8,3.990307e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,4.157843e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,4.000896e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
8,4.170152e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,45,-1
8,3.670523e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,3.337329e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,35,-1
8,3.670967e-01,1,0,0,0,100,5.000000e-02,2.500000e-01,76,35,-1
8,4.170032e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,4.004325e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
8,4.170328e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
8,4.503142e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
8,4.004473e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
8,3.670400e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,3.670342e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,3.670647e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
8,6.004552e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,3.170834e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,3.337045e-01,1,0,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
8,3.004508e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
8,2.671021e-01,1,0,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
8,3.504463e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
8,2.837377e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
8,3.004309e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
8,3.670234e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
8,3.003926e-01,1,0,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,5.004111e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
8,2.337470e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
8,2.836722e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
8,3.170716e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
8,5.337221e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
8,2.170529e-01,1,0,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,3.337673e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
8,2.337262e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
8,3.170490e-01,1,0,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,6.837129e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,50,-1
8,4.167454e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
8,6.170486e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
8,3.835258e-01,1,0,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,8.170191e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
8,3.670463e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
8,5.337300e-01,0,0,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
8,8.504059e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,45,-1
8,5.503517e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
8,4.837411e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,35,-1
8,4.004198e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
8,4.837079e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,45,-1
8,5.003948e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,4.670319e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,50,-1
8,5.337713e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
8,5.337345e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,4.671577e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,0,0,0,0,0,0,0,0,0,0,0
8,5.671080e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,55,0
8,5.003670e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,45,0
8,5.505802e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,45,0
8,4.837218e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,35,0
8,4.003830e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,35,0
8,4.170611e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
8,4.171257e-01,1,0,0,0,100,5.000000e-02,1.000000e-01,76,50,0
8,4.336871e-01,0,0,1,0,100,5.000000e-02,1.000000e-01,76,40,0
8,3.170891e-01,0,0,1,0,100,5.000000e-02,1.000000e-01,76,40,0
8,5.670636e-01,1,0,0,0,100,5.000000e-02,1.000000e-01,76,55,0
8,4.003736e-01,0,0,1,0,100,5.000000e-02,1.000000e-01,76,45,0
8,3.837290e-01,1,0,0,0,100,5.000000e-02,1.000000e-01,76,40,0
8,3.671040e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
8,5.004171e-01,1,0,0,0,100,5.000000e-02,1.000000e-01,76,35,0
8,3.335804e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
8,4.670123e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
8,4.670784e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,40,0
8,4.501938e-01,0,0,1,0,100,5.000000e-02,1.000000e-01,76,40,0
8,4.170252e-01,0,0,1,0,100,5.000000e-02,1.000000e-01,76,45,0
8,4.337218e-01,1,0,0,0,100,5.000000e-02,1.000000e-01,76,55,0
8,5.670422e-01,1,0,0,0,100,5.000000e-02,7.500000e-02,76,35,0
8,4.668689e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
8,6.006865e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,55,0
8,5.003438e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,40,0
8,7.503832e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,35,0
8,3.837281e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,50,0
8,4.337281e-01,1,0,0,0,100,5.000000e-02,7.500000e-02,76,45,0
8,4.003975e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,45,0
8,6.670610e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,55,0
8,4.503951e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,50,0
8,4.669999e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,35,0
8,5.836992e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,50,0
8,4.671164e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
8,6.005047e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,35,0
8,5.504703e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
8,5.168085e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,55,0
8,4.172658e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,40,0
8,5.669559e-01,1,0,0,0,100,5.000000e-02,7.500000e-02,76,35,0
8,4.168000e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
8,5.670866e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,45,0
8,4.834806e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,55,0
8,5.170479e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,45,0
8,5.837303e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,40,0
8,5.670736e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,45,0
8,6.003759e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,35,0
8,3.670641e-01,1,0,0,0,100,5.000000e-02,6.250000e-02,76,35,0
8,5.003803e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,50,0
8,5.170757e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,40,0
8,8.003911e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,50,0
8,4.504029e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,55,0
8,6.670471e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,50,0
8,3.837178e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,55,0
8,4.170273e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,55,0
8,5.003749e-01,1,0,0,0,100,5.000000e-02,6.250000e-02,76,35,0
8,4.503694e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,55,0
8,1.319063e-04,1,1,1,0,100,5.000000e-02,6.250000e-02,76,40,0
8,6.170495e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,40,0
8,5.004002e-01,1,0,0,0,100,5.000000e-02,6.250000e-02,76,45,0
8,3.670783e-01,0,0,1,0,100,5.000000e-02,6.250000e-02,76,35,0
