Subject,RT,Choice,Accuracy,Target,PrimeType,PrimeDuration,FoilContrast,TargetContrast,PP,Angle,BlockType
8,2.464649e+00,0,0,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,6.819175e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
8,4.988322e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
8,4.488843e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
8,6.320430e-01,1,0,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
8,4.823312e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,45,-1
8,3.823317e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,45,-1
8,3.824461e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
8,4.334776e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
8,4.837124e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
8,3.837516e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
8,5.504063e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,4.337329e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
8,4.337212e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
8,5.337230e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
8,0,0,0,0,0,0,0,0,0,0,0
8,7.003460e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
8,3.837528e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,40,0
8,7.003798e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,35,0
8,5.837231e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,0
8,4.004074e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
8,5.174563e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,45,0
8,4.836862e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
8,3.670430e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,45,0
8,4.337100e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,40,0
8,4.670738e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,35,0
8,3.837275e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,40,0
8,4.170795e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,55,0
8,3.837598e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,0
8,5.670793e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
8,3.504119e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
8,4.670675e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
8,4.670615e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
8,3.837341e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,40,0
8,4.337341e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,45,0
8,3.837429e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,55,0
8,4.170644e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,40,0
8,4.337420e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,35,0
8,4.004240e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,50,0
8,4.004098e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,40,0
8,4.336780e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,55,0
8,4.170889e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,45,0
8,6.503943e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,40,0
8,4.506673e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,45,0
8,4.336415e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,45,0
8,3.837447e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,55,0
8,4.670690e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,35,0
8,5.503970e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
8,4.170708e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
8,5.003692e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,45,0
8,5.837303e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,45,0
8,4.171831e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,55,0
8,4.503767e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
8,3.837447e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,40,0
8,4.504020e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,35,0
8,3.504074e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,35,0
8,5.003924e-01,1,0,0,0,100,5.000000e-02,6.250000e-02,76,50,0
8,4.670627e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,35,0
8,6.003940e-01,1,1,1,0,100,5.000000e-02,6.250000e-02,76,35,0
8,5.504012e-01,0,1,0,0,100,5.000000e-02,6.250000e-02,76,55,0
