Subject,RT,Choice,Accuracy,Target,PrimeType,PrimeDuration,FoilContrast,TargetContrast,PP,Angle,BlockType
6,8.982097e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,45,-1
6,1.065182e+00,1,0,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
6,7.654920e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
6,1.382123e+00,1,0,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
6,1.132205e+00,0,1,0,0,100,5.000000e-02,2.500000e-01,76,45,-1
6,5.156298e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,50,-1
6,5.656809e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,40,-1
6,4.825440e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
6,5.667989e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,40,-1
6,6.337427e-01,0,1,0,0,100,5.000000e-02,2.500000e-01,76,55,-1
6,5.003311e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,45,-1
6,5.004075e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
6,4.337230e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,35,-1
6,5.004202e-01,1,1,1,0,100,5.000000e-02,2.500000e-01,76,55,-1
6,0,0,0,0,0,0,0,0,0,0,0
6,4.170814e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,0
6,4.337879e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
6,4.503734e-01,1,0,0,0,100,5.000000e-02,1.000000e-01,76,35,0
6,1.000360e+00,1,0,0,0,100,5.000000e-02,1.000000e-01,76,50,0
6,4.004542e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
6,4.670684e-01,0,0,1,0,100,5.000000e-02,1.000000e-01,76,55,0
6,4.337260e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,55,0
6,5.837264e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,0
6,4.170856e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,0
6,7.171042e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,40,0
6,4.003957e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
6,3.837009e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,50,0
6,4.170850e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,45,0
6,5.839983e-01,1,0,0,0,100,5.000000e-02,1.000000e-01,76,40,0
6,3.670858e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,0
6,3.837223e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,40,0
6,3.004502e-01,1,1,1,0,100,5.000000e-02,1.000000e-01,76,55,0
6,3.337990e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
6,3.504412e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,35,0
6,9.670370e-01,0,1,0,0,100,5.000000e-02,1.000000e-01,76,50,0
6,4.170732e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,55,0
6,4.837453e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
6,5.504169e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,55,0
6,4.504123e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,45,0
6,4.670829e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,40,0
6,4.004050e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,40,0
6,6.170866e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,50,0
6,6.004217e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,55,0
6,3.837604e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
6,4.337577e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,35,0
6,4.504023e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,35,0
6,5.337596e-01,0,0,1,0,100,5.000000e-02,7.500000e-02,76,35,0
6,3.670849e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,35,0
6,4.170792e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
6,4.337486e-01,0,1,0,0,100,5.000000e-02,7.500000e-02,76,50,0
6,3.670762e-01,1,1,1,0,100,5.000000e-02,7.500000e-02,76,45,0
