Subject,Trial,Block,Block_type,Foil_contrast,Target_contrast,Target_to_foil_contrast,Max_illuminance,Angle,Fixation_time,Placeholder_time,Prime_time,Target_time,Mask_time,Feedback_time,Prime_duration,Prime_rotation,Prime_type,Target_rotation,Correct_answer,Choice_rotation,Choice_display,RT,Choice,Accuracy,Choice_label,Prime_rotation_label,Target_rotation_label,Choice_rotation_label,Prime_type_label,Correct_answer_label,Onscreen_choices_labels,Block_type_label,Experiment
2,1,1,-2,5.000000e-02,2.500000e-01,5,76,55,1.759751e-02,4.000187e-01,1.000076e-01,2.831198e-01,9.357231e-06,4.000000e-01,100,2,1,1,1,2,3,4.879537e-01,1,1,Right,Vertical,Right,Vertical,Neither,Right,None,Guided practice,C
2,1,1,-2,5.000000e-02,2.500000e-01,5,76,40,1.159172e-02,3.999311e-01,1.000164e-01,2.834135e-01,9.357231e-06,4.000000e-01,100,2,1,1,1,2,3,4.908161e-01,1,1,Right,Vertical,Right,Vertical,Neither,Right,None,Guided practice,C
2,1,1,-2,5.000000e-02,2.500000e-01,5,76,45,1.034782e-02,4.000811e-01,9.994905e-02,2.833888e-01,7.244293e-06,4.000000e-01,100,2,1,0,0,2,3,3.170879e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Guided practice,C
2,1,1,-2,5.000000e-02,2.500000e-01,5,76,50,1.849188e-02,4.000760e-01,1.000088e-01,2.833719e-01,7.244060e-06,4.000000e-01,100,2,1,0,0,2,3,3.587240e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Guided practice,C
2,1,1,-2,5.000000e-02,2.500000e-01,5,76,50,1.056304e-02,4.000419e-01,9.999312e-02,2.833640e-01,7.244293e-06,4.000000e-01,100,2,1,0,0,2,3,3.337823e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Guided practice,C
2,1,2,-1,5.000000e-02,2.500000e-01,5,76,55,3.145602e-01,3.000361e-01,1.000070e-01,8.306238e-02,8.753501e-06,4.000000e-01,100,2,1,0,0,2,3,4.587838e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Exclusion practice,C
2,1,2,-1,5.000000e-02,2.500000e-01,5,76,40,3.186647e-01,3.000234e-01,9.999372e-02,8.336633e-02,7.546041e-06,4.000000e-01,100,2,1,1,1,2,3,4.004204e-01,1,1,Right,Vertical,Right,Vertical,Neither,Right,None,Exclusion practice,C
2,1,2,-1,5.000000e-02,2.500000e-01,5,76,35,3.108337e-01,3.000165e-01,1.000067e-01,8.335305e-02,7.244293e-06,4.000000e-01,100,2,1,1,1,2,3,3.920877e-01,1,1,Right,Vertical,Right,Vertical,Neither,Right,None,Exclusion practice,C
2,1,2,-1,5.000000e-02,2.500000e-01,5,76,40,3.108035e-01,3.000889e-01,9.990558e-02,8.333766e-02,7.244293e-06,4.000000e-01,100,2,1,0,0,2,3,3.838129e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Exclusion practice,C
2,1,2,-1,5.000000e-02,2.500000e-01,5,76,45,3.108503e-01,3.000032e-01,1.000224e-01,8.331653e-02,7.244293e-06,4.000000e-01,100,2,1,0,0,2,3,3.421032e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Exclusion practice,C
2,1,2,-1,5.000000e-02,2.500000e-01,5,76,35,3.105318e-01,3.000443e-01,1.000453e-01,8.330265e-02,7.546041e-06,4.000000e-01,100,2,1,0,0,2,3,3.504525e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Exclusion practice,C
2,1,2,-1,5.000000e-02,2.500000e-01,5,76,35,3.107144e-01,3.000376e-01,1.000079e-01,8.333977e-02,7.546041e-06,4.000000e-01,100,2,1,1,1,2,3,3.421117e-01,1,1,Right,Vertical,Right,Vertical,Neither,Right,None,Exclusion practice,C
2,1,2,-1,5.000000e-02,2.500000e-01,5,76,55,3.189928e-01,2.999380e-01,1.000127e-01,8.333555e-02,7.244293e-06,4.000000e-01,100,2,1,1,1,2,3,3.421262e-01,1,1,Right,Vertical,Right,Vertical,Neither,Right,None,Exclusion practice,C
2,1,2,-1,5.000000e-02,2.500000e-01,5,76,35,3.107990e-01,3.000053e-01,1.000007e-01,8.335215e-02,6.942311e-06,4.000000e-01,100,2,1,0,0,2,3,3.671155e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Exclusion practice,C
2,1,2,-1,5.000000e-02,2.500000e-01,5,76,45,3.189358e-01,3.000261e-01,1.000127e-01,8.332830e-02,7.546274e-06,4.000000e-01,100,2,1,1,1,2,3,3.337636e-01,1,1,Right,Vertical,Right,Vertical,Neither,Right,None,Exclusion practice,C
2,1,3,0,5.000000e-02,1.000000e-01,2,76,55,3.124679e-01,3.000008e-01,1.000351e-01,8.334279e-02,7.546041e-06,4.000000e-01,100,2,1,0,0,2,3,4.337636e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Final training,C
2,1,3,0,5.000000e-02,1.000000e-01,2,76,55,3.107766e-01,2.999950e-01,1.000423e-01,8.334189e-02,7.244293e-06,4.000000e-01,100,2,1,0,0,2,3,3.170843e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Final training,C
2,1,3,0,5.000000e-02,1.000000e-01,2,76,45,3.107772e-01,3.000337e-01,1.000242e-01,8.334641e-02,7.244293e-06,4.000000e-01,100,2,1,1,1,2,3,3.253958e-01,1,1,Right,Vertical,Right,Vertical,Neither,Right,None,Final training,C
2,1,3,0,5.000000e-02,1.000000e-01,2,76,35,3.107694e-01,3.000243e-01,1.000085e-01,8.334158e-02,7.244293e-06,4.000000e-01,100,2,1,0,0,2,3,3.837698e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Final training,C
2,1,3,0,5.000000e-02,1.000000e-01,2,76,50,3.108343e-01,3.000050e-01,9.998859e-02,8.342308e-02,9.357231e-06,4.000000e-01,100,2,1,0,0,2,3,3.420202e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Final training,C
2,1,3,0,5.000000e-02,1.000000e-01,2,76,50,3.106879e-01,3.000249e-01,1.000441e-01,8.333977e-02,7.244293e-06,4.000000e-01,100,2,1,0,0,2,3,3.254215e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Final training,C
2,1,3,0,5.000000e-02,1.000000e-01,2,76,55,3.106891e-01,3.000240e-01,9.998678e-02,8.335728e-02,7.244293e-06,4.000000e-01,100,2,1,0,0,2,3,3.421002e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Final training,C
2,1,3,0,5.000000e-02,1.000000e-01,2,76,45,3.109441e-01,2.999960e-01,1.000239e-01,8.332800e-02,7.848023e-06,4.000000e-01,100,2,1,0,0,2,3,3.588206e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Final training,C
2,1,3,0,5.000000e-02,1.000000e-01,2,76,50,3.188663e-01,3.000050e-01,1.000698e-01,8.329872e-02,7.244293e-06,4.000000e-01,100,2,1,0,0,2,3,3.671424e-01,0,1,Left,Vertical,Left,Vertical,Neither,Left,None,Final training,C
2,1,3,0,5.000000e-02,1.000000e-01,2,76,50,3.188814e-01,2.999519e-01,1.000043e-01,8.335547e-02,7.244293e-06,4.000000e-01,100,2,1,1,1,2,3,3.754129e-01,1,1,Right,Vertical,Right,Vertical,Neither,Right,None,Final training,C
2,1,3,0,5.000000e-02,1.000000e-01,2,76,40,3.107664e-01,3.000615e-01,1.000149e-01,8.334853e-02,7.244293e-06,4.000000e-01,100,2,1,1,1,2,3,3.421047e-01,1,1,Right,Vertical,Right,Vertical,Neither,Right,None,Final training,C
2,1,3,0,5.000000e-02,1.000000e-01,2,76,50,3.108062e-01,2.999878e-01,1.000085e-01,8.336966e-02,7.244293e-06,4.000000e-01,100,2,1,1,1,2,3,3.254034e-01,1,1,Right,Vertical,Right,Vertical,Neither,Right,None,Final training,C
